,SERIALNO,HHVEHCNT,HHFAMINC,WRKCOUNT,R_AGE,EDUC,R_SEX,HHSIZE,LAT,LON
0,2020HU0853695,0.0,10,,senior,college,female,3,9.14997,7.35501
1,2020HU0853695,0.0,10,,senior,college,female,3,9.14998,7.35501
2,2020HU0853695,0.0,10,,senior,college,female,3,9.14997,7.35501
3,2018HU0270440,3.0,10,3.0,adult,below-high,female,2,9.04468,7.47364
4,2018HU0270440,3.0,10,3.0,adult,below-high,female,2,9.04469,7.47364
5,2019HU0849555,3.0,8,3.0,adult,Bachelor,female,1,9.0914,7.49876
6,2021HU1200690,3.0,10,3.0,tenager,below-high,male,13,9.11564,7.45543
7,2021HU1200690,3.0,10,3.0,tenager,below-high,male,13,9.11565,7.45543
8,2021HU1200690,3.0,10,3.0,tenager,below-high,male,13,9.11564,7.45543
9,2021HU1200690,3.0,10,3.0,tenager,below-high,male,13,9.11565,7.45543
10,2021HU1200690,3.0,10,3.0,tenager,below-high,male,13,9.11564,7.45543
11,2021HU1200690,3.0,10,3.0,tenager,below-high,male,13,9.11565,7.45543
12,2021HU1200690,3.0,10,3.0,tenager,below-high,male,13,9.11564,7.45543
13,2021HU1200690,3.0,10,3.0,tenager,below-high,male,13,9.11565,7.45543
14,2021HU1200690,3.0,10,3.0,tenager,below-high,male,13,9.11564,7.45543
15,2021HU1200690,3.0,10,3.0,tenager,below-high,male,13,9.11565,7.45543
16,2021HU1200690,3.0,10,3.0,tenager,below-high,male,13,9.11564,7.45543
17,2021HU1200690,3.0,10,3.0,tenager,below-high,male,13,9.11565,7.45543
18,2021HU1200690,3.0,10,3.0,tenager,below-high,male,13,9.11564,7.45543
19,2021HU0273780,1.0,2,0.0,tenager,below-high,male,3,9.07494,7.39688
20,2021HU0273780,1.0,2,0.0,tenager,below-high,male,3,9.07495,7.39688
21,2021HU0273780,1.0,2,0.0,tenager,below-high,male,3,9.07494,7.39688
22,2020HU0628820,3.0,5,3.0,tenager,below-high,female,1,9.08138,7.48416
23,2017000247487,1.0,10,3.0,adult,High-school,female,1,9.05983,7.50052
24,2018HU0278218,3.0,2,1.0,tenager,below-high,female,3,9.11721,7.40618
25,2018HU0278218,3.0,2,1.0,tenager,below-high,female,3,9.11722,7.40618
26,2018HU0278218,3.0,2,1.0,tenager,below-high,female,3,9.11721,7.40618
27,2017000738034,3.0,6,2.0,tenager,below-high,female,7,9.00739,7.47
28,2017000738034,3.0,6,2.0,tenager,below-high,female,7,9.007399999999999,7.47
