,Unnamed: 0,SERIALNO,STRTTIME,ENDTIME,TRVLCMIN,HHSIZE,HHVEHCNT,HHFAMINC,WRKCOUNT,R_AGE,EDUC,R_SEX,LAT,LON,predicted_Class
6460,6460,2017000023137,0,100,60,1,3.0,7,2.0,5,1,1,9.08714,7.47733,2
4290,4290,2017000119690,0,100,60,2,3.0,5,2.0,5,2,1,9.03234,7.47146,2
4289,4289,2017000119690,0,100,60,2,3.0,5,2.0,5,2,1,9.03233,7.47146,2
1881,1881,2017000135646,0,100,60,2,3.0,7,3.0,4,1,1,9.04671,7.49441,2
1880,1880,2017000135646,0,100,60,2,3.0,7,3.0,4,1,1,9.0467,7.49441,2
552,552,2017000226910,0,100,60,1,1.0,6,2.0,4,1,1,9.08577,7.48127,2
2917,2917,2017000279465,0,100,60,7,2.0,8,2.0,4,3,1,9.05127,7.50781,2
2920,2920,2017000279465,0,100,60,7,2.0,8,2.0,4,3,1,9.05126,7.50781,2
2918,2918,2017000279465,0,100,60,7,2.0,8,2.0,4,3,1,9.05126,7.50781,2
2919,2919,2017000279465,0,100,60,7,2.0,8,2.0,4,3,1,9.05127,7.50781,2
2916,2916,2017000279465,0,100,60,7,2.0,8,2.0,4,3,1,9.05126,7.50781,2
2915,2915,2017000279465,0,100,60,7,2.0,8,2.0,4,3,1,9.05127,7.50781,2
2914,2914,2017000279465,0,100,60,7,2.0,8,2.0,4,3,1,9.05126,7.50781,2
3979,3979,2017000282278,0,100,60,1,3.0,5,2.0,4,1,2,9.06601,7.49304,2
7987,7987,2017000282605,0,100,60,1,2.0,2,2.0,5,2,2,9.08577,7.48127,2
6786,6786,2017000430355,0,100,60,1,3.0,6,2.0,5,1,1,9.05547,7.48034,2
7340,7340,2017000703282,0,100,60,1,3.0,7,2.0,5,1,1,9.07224,7.40432,2
3917,3917,2017000705862,0,100,60,1,3.0,8,3.0,4,1,1,9.08093,7.49692,2
7983,7983,2017000707003,0,100,60,1,2.0,6,2.0,4,1,1,9.02513,7.58613,2
4825,4825,2017000797492,0,100,60,4,2.0,8,3.0,4,1,1,9.03922,7.41207,2
4824,4824,2017000797492,0,100,60,4,2.0,8,3.0,4,1,1,9.03921,7.41207,2
4826,4826,2017000797492,0,100,60,4,2.0,8,3.0,4,1,1,9.03921,7.41207,2
4827,4827,2017000797492,0,100,60,4,2.0,8,3.0,4,1,1,9.03922,7.41207,2
6009,6009,2017000826459,0,100,60,1,2.0,6,1.0,5,1,1,9.04787,7.48515,2
478,478,2017000887728,0,100,60,31,2.0,6,2.0,2,1,1,9.07485,7.3962,2
