,STRTTIME,ENDTIME,TRVLCMIN,HHSIZE,HHVEHCNT,HHFAMINC,WRKCOUNT,R_AGE,EDUC,R_SEX,predicted_Class
0,1300,1400,60,3,0.0,10,0.0,5,3,2,1
1,1300,1400,60,3,0.0,10,0.0,5,3,2,1
2,1300,1400,60,3,0.0,10,0.0,5,3,2,1
3,1300,1400,60,2,3.0,10,3.0,4,1,2,2
4,1300,1400,60,2,3.0,10,3.0,4,1,2,2
5,1300,1400,60,1,3.0,8,3.0,4,4,2,2
6,1300,1400,60,13,3.0,10,3.0,2,1,1,1
7,1300,1400,60,13,3.0,10,3.0,2,1,1,1
8,1300,1400,60,13,3.0,10,3.0,2,1,1,1
9,1300,1400,60,13,3.0,10,3.0,2,1,1,1
10,1300,1400,60,13,3.0,10,3.0,2,1,1,1
11,1300,1400,60,13,3.0,10,3.0,2,1,1,1
12,1300,1400,60,13,3.0,10,3.0,2,1,1,1
13,1300,1400,60,13,3.0,10,3.0,2,1,1,1
14,1300,1400,60,13,3.0,10,3.0,2,1,1,1
15,1300,1400,60,13,3.0,10,3.0,2,1,1,1
16,1300,1400,60,13,3.0,10,3.0,2,1,1,1
17,1300,1400,60,13,3.0,10,3.0,2,1,1,1
18,1300,1400,60,13,3.0,10,3.0,2,1,1,1
19,1300,1400,60,3,1.0,2,0.0,2,1,1,1
20,1300,1400,60,3,1.0,2,0.0,2,1,1,1
21,1300,1400,60,3,1.0,2,0.0,2,1,1,1
22,1300,1400,60,1,3.0,5,3.0,2,1,2,2
23,1300,1400,60,1,1.0,10,3.0,4,2,2,2
24,1300,1400,60,3,3.0,2,1.0,2,1,2,1
25,1300,1400,60,3,3.0,2,1.0,2,1,2,1
26,1300,1400,60,3,3.0,2,1.0,2,1,2,1
27,1300,1400,60,7,3.0,6,2.0,2,1,2,1
28,1300,1400,60,7,3.0,6,2.0,2,1,2,1
29,1300,1400,60,7,3.0,6,2.0,2,1,2,1
30,1300,1400,60,7,3.0,6,2.0,2,1,2,1
31,1300,1400,60,7,3.0,6,2.0,2,1,2,1
32,1300,1400,60,7,3.0,6,2.0,2,1,2,1
33,1300,1400,60,7,3.0,6,2.0,2,1,2,1
34,1300,1400,60,2,2.0,8,3.0,4,2,2,2
35,1300,1400,60,2,2.0,8,3.0,4,2,2,2
36,1300,1400,60,1,1.0,7,3.0,4,2,2,2
37,1300,1400,60,15,2.0,6,2.0,2,1,2,1
38,1300,1400,60,15,2.0,6,2.0,2,1,2,1
39,1300,1400,60,15,2.0,6,2.0,2,1,2,1
40,1300,1400,60,15,2.0,6,2.0,2,1,2,1
41,1300,1400,60,15,2.0,6,2.0,2,1,2,1
42,1300,1400,60,15,2.0,6,2.0,2,1,2,1
43,1300,1400,60,15,2.0,6,2.0,2,1,2,1
44,1300,1400,60,15,2.0,6,2.0,2,1,2,1
45,1300,1400,60,15,2.0,6,2.0,2,1,2,1
46,1300,1400,60,15,2.0,6,2.0,2,1,2,1
47,1300,1400,60,15,2.0,6,2.0,2,1,2,1
48,1300,1400,60,15,2.0,6,2.0,2,1,2,1
49,1300,1400,60,15,2.0,6,2.0,2,1,2,1
50,1300,1400,60,15,2.0,6,2.0,2,1,2,1
51,1300,1400,60,15,2.0,6,2.0,2,1,2,1
52,1300,1400,60,5,3.0,6,3.0,4,3,1,1
53,1300,1400,60,5,3.0,6,3.0,4,3,1,1
54,1300,1400,60,5,3.0,6,3.0,4,3,1,1
55,1300,1400,60,5,3.0,6,3.0,4,3,1,1
56,1300,1400,60,5,3.0,6,3.0,4,3,1,1
57,1300,1400,60,1,3.0,8,3.0,2,1,2,2
58,1300,1400,60,3,3.0,9,2.0,2,1,2,1
59,1300,1400,60,3,3.0,9,2.0,2,1,2,1
60,1300,1400,60,3,3.0,9,2.0,2,1,2,1
61,1300,1400,60,2,3.0,6,2.0,2,1,1,1
62,1300,1400,60,2,3.0,6,2.0,2,1,1,1
63,1300,1400,60,2,2.0,6,3.0,2,1,1,2
64,1300,1400,60,2,2.0,6,3.0,2,1,1,2
65,1300,1400,60,2,3.0,10,3.0,4,2,2,2
66,1300,1400,60,2,3.0,10,3.0,4,2,2,2
67,1300,1400,60,2,1.0,4,1.0,2,1,2,1
68,1300,1400,60,2,1.0,4,1.0,2,1,2,1
69,1300,1400,60,1,3.0,6,2.0,4,2,1,2
70,1300,1400,60,3,3.0,7,3.0,3,2,1,2
71,1300,1400,60,3,3.0,7,3.0,3,2,1,2
72,1300,1400,60,3,3.0,7,3.0,3,2,1,2
73,1300,1400,60,1,3.0,6,3.0,4,2,1,2
74,1300,1400,60,4,3.0,7,3.0,4,2,2,1
75,1300,1400,60,4,3.0,7,3.0,4,2,2,1
76,1300,1400,60,4,3.0,7,3.0,4,2,2,1
77,1300,1400,60,4,3.0,7,3.0,4,2,2,1
78,1300,1400,60,1,3.0,9,3.0,2,1,2,2
79,1300,1400,60,16,2.0,10,3.0,2,1,2,1
80,1300,1400,60,16,2.0,10,3.0,2,1,2,1
81,1300,1400,60,16,2.0,10,3.0,2,1,2,1
82,1300,1400,60,16,2.0,10,3.0,2,1,2,1
83,1300,1400,60,16,2.0,10,3.0,2,1,2,1
84,1300,1400,60,16,2.0,10,3.0,2,1,2,1
85,1300,1400,60,16,2.0,10,3.0,2,1,2,1
86,1300,1400,60,16,2.0,10,3.0,2,1,2,1
87,1300,1400,60,16,2.0,10,3.0,2,1,2,1
88,1300,1400,60,16,2.0,10,3.0,2,1,2,1
89,1300,1400,60,16,2.0,10,3.0,2,1,2,1
90,1300,1400,60,16,2.0,10,3.0,2,1,2,1
91,1300,1400,60,16,2.0,10,3.0,2,1,2,1
92,1300,1400,60,16,2.0,10,3.0,2,1,2,1
93,1300,1400,60,16,2.0,10,3.0,2,1,2,1
94,1300,1400,60,16,2.0,10,3.0,2,1,2,1
95,1300,1400,60,2,0.0,10,3.0,4,1,1,2
96,1300,1400,60,2,0.0,10,3.0,4,1,1,2
97,1300,1400,60,10,3.0,6,3.0,2,1,1,1
98,1300,1400,60,10,3.0,6,3.0,2,1,1,1
99,1300,1400,60,10,3.0,6,3.0,2,1,1,1
100,1300,1400,60,10,3.0,6,3.0,2,1,1,1
101,1300,1400,60,10,3.0,6,3.0,2,1,1,1
102,1300,1400,60,10,3.0,6,3.0,2,1,1,1
103,1300,1400,60,10,3.0,6,3.0,2,1,1,1
104,1300,1400,60,10,3.0,6,3.0,2,1,1,1
105,1300,1400,60,10,3.0,6,3.0,2,1,1,1
106,1300,1400,60,10,3.0,6,3.0,2,1,1,1
107,1300,1400,60,6,2.0,7,2.0,2,1,2,1
108,1300,1400,60,6,2.0,7,2.0,2,1,2,1
109,1300,1400,60,6,2.0,7,2.0,2,1,2,1
110,1300,1400,60,6,2.0,7,2.0,2,1,2,1
111,1300,1400,60,6,2.0,7,2.0,2,1,2,1
112,1300,1400,60,6,2.0,7,2.0,2,1,2,1
113,1300,1400,60,3,3.0,10,3.0,1,1,1,1
114,1300,1400,60,3,3.0,10,3.0,1,1,1,1
115,1300,1400,60,3,3.0,10,3.0,1,1,1,1
116,1300,1400,60,4,2.0,4,1.0,1,1,1,1
117,1300,1400,60,4,2.0,4,1.0,1,1,1,1
118,1300,1400,60,4,2.0,4,1.0,1,1,1,1
119,1300,1400,60,4,2.0,4,1.0,1,1,1,1
120,1300,1400,60,3,3.0,6,1.0,2,1,1,1
121,1300,1400,60,3,3.0,6,1.0,2,1,1,1
122,1300,1400,60,3,3.0,6,1.0,2,1,1,1
123,1300,1400,60,2,3.0,7,2.0,1,1,2,1
124,1300,1400,60,2,3.0,7,2.0,1,1,2,1
125,1300,1400,60,1,3.0,6,3.0,4,3,2,2
126,1300,1400,60,2,3.0,8,3.0,2,2,1,2
127,1300,1400,60,2,3.0,8,3.0,2,2,1,2
128,1300,1400,60,1,1.0,6,3.0,2,1,2,2
129,1300,1400,60,1,3.0,5,1.0,4,2,1,2
130,1300,1400,60,2,1.0,10,3.0,4,2,2,1
131,1300,1400,60,2,1.0,10,3.0,4,2,2,1
132,1300,1400,60,1,3.0,7,3.0,4,2,1,2
133,1300,1400,60,1,3.0,7,3.0,4,2,2,2
134,1300,1400,60,1,2.0,6,1.0,4,2,1,2
135,1300,1400,60,1,2.0,5,1.0,4,2,1,2
136,1300,1400,60,8,3.0,5,2.0,4,2,2,1
137,1300,1400,60,8,3.0,5,2.0,4,2,2,1
138,1300,1400,60,8,3.0,5,2.0,4,2,2,1
139,1300,1400,60,8,3.0,5,2.0,4,2,2,1
140,1300,1400,60,8,3.0,5,2.0,4,2,2,1
141,1300,1400,60,8,3.0,5,2.0,4,2,2,1
142,1300,1400,60,8,3.0,5,2.0,4,2,2,1
143,1300,1400,60,8,3.0,5,2.0,4,2,2,1
144,1300,1400,60,2,3.0,8,3.0,2,1,1,2
145,1300,1400,60,2,3.0,8,3.0,2,1,1,2
146,1300,1400,60,3,2.0,7,3.0,2,1,1,1
147,1300,1400,60,3,2.0,7,3.0,2,1,1,1
148,1300,1400,60,3,2.0,7,3.0,2,1,1,1
149,1300,1400,60,1,2.0,8,3.0,4,3,1,2
150,1300,1400,60,1,3.0,7,3.0,1,1,2,2
151,1300,1400,60,1,0.0,2,0.0,4,1,1,1
152,1300,1400,60,4,2.0,5,1.0,2,1,2,1
153,1300,1400,60,4,2.0,5,1.0,2,1,2,1
154,1300,1400,60,4,2.0,5,1.0,2,1,2,1
155,1300,1400,60,4,2.0,5,1.0,2,1,2,1
156,1300,1400,60,1,1.0,3,1.0,2,1,1,1
157,1300,1400,60,5,2.0,7,2.0,2,1,2,1
158,1300,1400,60,5,2.0,7,2.0,2,1,2,1
159,1300,1400,60,5,2.0,7,2.0,2,1,2,1
160,1300,1400,60,5,2.0,7,2.0,2,1,2,1
161,1300,1400,60,5,2.0,7,2.0,2,1,2,1
162,1300,1400,60,2,3.0,10,3.0,4,4,1,2
