"Column Name","Label"
"GEO_ID","Geography"
"NAME","Geographic Area Name"
"DP02_0001E","Estimate!!HOUSEHOLDS BY TYPE!!Total households"
"DP02_0001M","Margin of Error!!HOUSEHOLDS BY TYPE!!Total households"
"DP02_0001MA","Annotation of Margin of Error!!HOUSEHOLDS BY TYPE!!Total households"
"DP02_0001EA","Annotation of Estimate!!HOUSEHOLDS BY TYPE!!Total households"
"DP02_0002E","Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Married-couple family"
"DP02_0002M","Margin of Error!!HOUSEHOLDS BY TYPE!!Total households!!Married-couple family"
"DP02_0002MA","Annotation of Margin of Error!!HOUSEHOLDS BY TYPE!!Total households!!Married-couple family"
"DP02_0002EA","Annotation of Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Married-couple family"
"DP02_0003E","Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Married-couple family!!With own children of the householder under 18 years"
"DP02_0003EA","Annotation of Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Married-couple family!!With own children of the householder under 18 years"
"DP02_0003M","Margin of Error!!HOUSEHOLDS BY TYPE!!Total households!!Married-couple family!!With own children of the householder under 18 years"
"DP02_0003MA","Annotation of Margin of Error!!HOUSEHOLDS BY TYPE!!Total households!!Married-couple family!!With own children of the householder under 18 years"
"DP02_0004E","Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Cohabiting couple household"
"DP02_0004M","Margin of Error!!HOUSEHOLDS BY TYPE!!Total households!!Cohabiting couple household"
"DP02_0004MA","Annotation of Margin of Error!!HOUSEHOLDS BY TYPE!!Total households!!Cohabiting couple household"
"DP02_0004EA","Annotation of Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Cohabiting couple household"
"DP02_0005E","Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Cohabiting couple household!!With own children of the householder under 18 years"
"DP02_0005M","Margin of Error!!HOUSEHOLDS BY TYPE!!Total households!!Cohabiting couple household!!With own children of the householder under 18 years"
"DP02_0005MA","Annotation of Margin of Error!!HOUSEHOLDS BY TYPE!!Total households!!Cohabiting couple household!!With own children of the householder under 18 years"
"DP02_0005EA","Annotation of Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Cohabiting couple household!!With own children of the householder under 18 years"
"DP02_0006E","Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Male householder, no spouse/partner present"
"DP02_0006M","Margin of Error!!HOUSEHOLDS BY TYPE!!Total households!!Male householder, no spouse/partner present"
"DP02_0006MA","Annotation of Margin of Error!!HOUSEHOLDS BY TYPE!!Total households!!Male householder, no spouse/partner present"
"DP02_0006EA","Annotation of Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Male householder, no spouse/partner present"
"DP02_0007E","Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Male householder, no spouse/partner present!!With own children of the householder under 18 years"
"DP02_0007M","Margin of Error!!HOUSEHOLDS BY TYPE!!Total households!!Male householder, no spouse/partner present!!With own children of the householder under 18 years"
"DP02_0007MA","Annotation of Margin of Error!!HOUSEHOLDS BY TYPE!!Total households!!Male householder, no spouse/partner present!!With own children of the householder under 18 years"
"DP02_0007EA","Annotation of Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Male householder, no spouse/partner present!!With own children of the householder under 18 years"
"DP02_0008E","Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Male householder, no spouse/partner present!!Householder living alone"
"DP02_0008M","Margin of Error!!HOUSEHOLDS BY TYPE!!Total households!!Male householder, no spouse/partner present!!Householder living alone"
"DP02_0008MA","Annotation of Margin of Error!!HOUSEHOLDS BY TYPE!!Total households!!Male householder, no spouse/partner present!!Householder living alone"
"DP02_0008EA","Annotation of Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Male householder, no spouse/partner present!!Householder living alone"
"DP02_0009E","Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Male householder, no spouse/partner present!!Householder living alone!!65 years and over"
"DP02_0009EA","Annotation of Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Male householder, no spouse/partner present!!Householder living alone!!65 years and over"
"DP02_0009M","Margin of Error!!HOUSEHOLDS BY TYPE!!Total households!!Male householder, no spouse/partner present!!Householder living alone!!65 years and over"
