topic,category,sub-category,id,value
"CITIZEN, VOTING AGE POPULATION","Citizen, 18 and over population",Female,DP05_0089E,12982938.0
"CITIZEN, VOTING AGE POPULATION","Citizen, 18 and over population",Male,DP05_0088E,12511445.0
"CITIZEN, VOTING AGE POPULATION","Citizen, 18 and over population",,DP05_0087E,25494383.0
HISPANIC OR LATINO AND RACE,Total population,Hispanic or Latino (of any race),DP05_0071E,15327688.0
HISPANIC OR LATINO AND RACE,Total population,Hispanic or Latino (of any race),DP05_0072E,12687312.0
HISPANIC OR LATINO AND RACE,Total population,Hispanic or Latino (of any race),DP05_0073E,221536.0
HISPANIC OR LATINO AND RACE,Total population,Hispanic or Latino (of any race),DP05_0074E,99206.0
HISPANIC OR LATINO AND RACE,Total population,Hispanic or Latino (of any race),DP05_0075E,2319634.0
HISPANIC OR LATINO AND RACE,Total population,Not Hispanic or Latino,DP05_0076E,23955809.0
HISPANIC OR LATINO AND RACE,Total population,Not Hispanic or Latino,DP05_0077E,14605312.0
HISPANIC OR LATINO AND RACE,Total population,Not Hispanic or Latino,DP05_0078E,2169155.0
HISPANIC OR LATINO AND RACE,Total population,Not Hispanic or Latino,DP05_0079E,140831.0
HISPANIC OR LATINO AND RACE,Total population,Not Hispanic or Latino,DP05_0080E,5610931.0
HISPANIC OR LATINO AND RACE,Total population,Not Hispanic or Latino,DP05_0081E,140788.0
HISPANIC OR LATINO AND RACE,Total population,Not Hispanic or Latino,DP05_0082E,100119.0
HISPANIC OR LATINO AND RACE,Total population,Not Hispanic or Latino,DP05_0083E,1188673.0
HISPANIC OR LATINO AND RACE,Total population,Not Hispanic or Latino,DP05_0084E,51857.0
HISPANIC OR LATINO AND RACE,Total population,Not Hispanic or Latino,DP05_0085E,1136816.0
HISPANIC OR LATINO AND RACE,Total population,,DP05_0070E,39283497.0
RACE,Total population,One race,DP05_0034E,37360833.0
RACE,Total population,One race,DP05_0036E,37360833.0
RACE,Total population,One race,DP05_0037E,23453222.0
RACE,Total population,One race,DP05_0038E,2274108.0
RACE,Total population,One race,DP05_0039E,303998.0
RACE,Total population,One race,DP05_0040E,18526.0
RACE,Total population,One race,DP05_0041E,2304.0
RACE,Total population,One race,DP05_0042E,9419.0
RACE,Total population,One race,DP05_0043E,3437.0
RACE,Total population,One race,DP05_0044E,5692423.0
RACE,Total population,One race,DP05_0045E,781878.0
RACE,Total population,One race,DP05_0046E,1574109.0
RACE,Total population,One race,DP05_0047E,1288414.0
RACE,Total population,One race,DP05_0048E,269696.0
RACE,Total population,One race,DP05_0049E,464242.0
RACE,Total population,One race,DP05_0050E,654344.0
RACE,Total population,One race,DP05_0051E,659740.0
RACE,Total population,One race,DP05_0052E,155290.0
RACE,Total population,One race,DP05_0053E,24715.0
RACE,Total population,One race,DP05_0054E,25853.0
