topic,category,sub-category,id,value
CLASS OF WORKER,Civilian employed population 16 years and over,Government workers,DP03_0048E,2524062
CLASS OF WORKER,Civilian employed population 16 years and over,Private wage and salary workers,DP03_0047E,14537772
CLASS OF WORKER,Civilian employed population 16 years and over,Self-employed in own not incorporated business workers,DP03_0049E,1496268
CLASS OF WORKER,Civilian employed population 16 years and over,Unpaid family workers,DP03_0050E,33139
CLASS OF WORKER,Civilian employed population 16 years and over,,DP03_0046E,18591241
COMMUTING TO WORK,Workers 16 years and over,"Car, truck, or van -- carpooled",DP03_0020E,1841632
COMMUTING TO WORK,Workers 16 years and over,"Car, truck, or van -- drove alone",DP03_0019E,13411041
COMMUTING TO WORK,Workers 16 years and over,Mean travel time to work (minutes),DP03_0025E,29.8
COMMUTING TO WORK,Workers 16 years and over,Other means,DP03_0023E,464791
COMMUTING TO WORK,Workers 16 years and over,Public transportation (excluding taxicab),DP03_0021E,923834
COMMUTING TO WORK,Workers 16 years and over,Walked,DP03_0022E,476291
COMMUTING TO WORK,Workers 16 years and over,Worked from home,DP03_0024E,1073966
COMMUTING TO WORK,Workers 16 years and over,,DP03_0018E,18191555
EMPLOYMENT STATUS,Civilian labor force,Unemployment Rate,DP03_0009E,(X)
EMPLOYMENT STATUS,Civilian labor force,,DP03_0008E,19790474
EMPLOYMENT STATUS,Females 16 years and over,In labor force,DP03_0011E,9121937
EMPLOYMENT STATUS,Females 16 years and over,In labor force,DP03_0012E,9104490
EMPLOYMENT STATUS,Females 16 years and over,In labor force,DP03_0013E,8543238
EMPLOYMENT STATUS,Females 16 years and over,,DP03_0010E,15844680
EMPLOYMENT STATUS,Own children of the householder 6 to 17 years,All parents in family in labor force,DP03_0017E,3865397
EMPLOYMENT STATUS,Own children of the householder 6 to 17 years,,DP03_0016E,5786352
EMPLOYMENT STATUS,Own children of the householder under 6 years,All parents in family in labor force,DP03_0015E,1766708
EMPLOYMENT STATUS,Own children of the householder under 6 years,,DP03_0014E,2820796
