topic,category,sub-category,id,value
Female,AGE BY EDUCATIONAL ATTAINMENT,Population 18 to 24 years,S1501_C05_001E,14939973
Female,AGE BY EDUCATIONAL ATTAINMENT,Population 18 to 24 years,S1501_C05_001EA,
Female,AGE BY EDUCATIONAL ATTAINMENT,Population 18 to 24 years,S1501_C05_001MA,
Female,AGE BY EDUCATIONAL ATTAINMENT,Population 18 to 24 years,S1501_C05_002E,1610121
Female,AGE BY EDUCATIONAL ATTAINMENT,Population 18 to 24 years,S1501_C05_002EA,
Female,AGE BY EDUCATIONAL ATTAINMENT,Population 18 to 24 years,S1501_C05_002MA,
Female,AGE BY EDUCATIONAL ATTAINMENT,Population 18 to 24 years,S1501_C05_003E,4200038
Female,AGE BY EDUCATIONAL ATTAINMENT,Population 18 to 24 years,S1501_C05_003EA,
Female,AGE BY EDUCATIONAL ATTAINMENT,Population 18 to 24 years,S1501_C05_003MA,
Female,AGE BY EDUCATIONAL ATTAINMENT,Population 18 to 24 years,S1501_C05_004E,7139886
Female,AGE BY EDUCATIONAL ATTAINMENT,Population 18 to 24 years,S1501_C05_004EA,
Female,AGE BY EDUCATIONAL ATTAINMENT,Population 18 to 24 years,S1501_C05_004MA,
Female,AGE BY EDUCATIONAL ATTAINMENT,Population 18 to 24 years,S1501_C05_005E,1989928
Female,AGE BY EDUCATIONAL ATTAINMENT,Population 18 to 24 years,S1501_C05_005EA,
Female,AGE BY EDUCATIONAL ATTAINMENT,Population 18 to 24 years,S1501_C05_005MA,
Female,AGE BY EDUCATIONAL ATTAINMENT,Population 25 to 34 years,S1501_C05_016E,22218967
Female,AGE BY EDUCATIONAL ATTAINMENT,Population 25 to 34 years,S1501_C05_016EA,
Female,AGE BY EDUCATIONAL ATTAINMENT,Population 25 to 34 years,S1501_C05_016MA,
Female,AGE BY EDUCATIONAL ATTAINMENT,Population 25 to 34 years,S1501_C05_017E,20486893
Female,AGE BY EDUCATIONAL ATTAINMENT,Population 25 to 34 years,S1501_C05_017EA,
Female,AGE BY EDUCATIONAL ATTAINMENT,Population 25 to 34 years,S1501_C05_017MA,
Female,AGE BY EDUCATIONAL ATTAINMENT,Population 25 to 34 years,S1501_C05_018E,8853276
Female,AGE BY EDUCATIONAL ATTAINMENT,Population 25 to 34 years,S1501_C05_018EA,
Female,AGE BY EDUCATIONAL ATTAINMENT,Population 25 to 34 years,S1501_C05_018MA,
Female,AGE BY EDUCATIONAL ATTAINMENT,Population 25 years and over,S1501_C05_006E,113968045
Female,AGE BY EDUCATIONAL ATTAINMENT,Population 25 years and over,S1501_C05_006EA,
Female,AGE BY EDUCATIONAL ATTAINMENT,Population 25 years and over,S1501_C05_006MA,
Female,AGE BY EDUCATIONAL ATTAINMENT,Population 25 years and over,S1501_C05_007E,5675350
Female,AGE BY EDUCATIONAL ATTAINMENT,Population 25 years and over,S1501_C05_007EA,
Female,AGE BY EDUCATIONAL ATTAINMENT,Population 25 years and over,S1501_C05_007MA,
Female,AGE BY EDUCATIONAL ATTAINMENT,Population 25 years and over,S1501_C05_008E,7262362
Female,AGE BY EDUCATIONAL ATTAINMENT,Population 25 years and over,S1501_C05_008EA,
Female,AGE BY EDUCATIONAL ATTAINMENT,Population 25 years and over,S1501_C05_008MA,
Female,AGE BY EDUCATIONAL ATTAINMENT,Population 25 years and over,S1501_C05_009E,29667722
Female,AGE BY EDUCATIONAL ATTAINMENT,Population 25 years and over,S1501_C05_009EA,
Female,AGE BY EDUCATIONAL ATTAINMENT,Population 25 years and over,S1501_C05_009MA,
Female,AGE BY EDUCATIONAL ATTAINMENT,Population 25 years and over,S1501_C05_010E,23478106
Female,AGE BY EDUCATIONAL ATTAINMENT,Population 25 years and over,S1501_C05_010EA,
Female,AGE BY EDUCATIONAL ATTAINMENT,Population 25 years and over,S1501_C05_010MA,
Female,AGE BY EDUCATIONAL ATTAINMENT,Population 25 years and over,S1501_C05_011E,10639365
Female,AGE BY EDUCATIONAL ATTAINMENT,Population 25 years and over,S1501_C05_011EA,
Female,AGE BY EDUCATIONAL ATTAINMENT,Population 25 years and over,S1501_C05_011MA,
Female,AGE BY EDUCATIONAL ATTAINMENT,Population 25 years and over,S1501_C05_012E,22929453
Female,AGE BY EDUCATIONAL ATTAINMENT,Population 25 years and over,S1501_C05_012EA,
Female,AGE BY EDUCATIONAL ATTAINMENT,Population 25 years and over,S1501_C05_012MA,
Female,AGE BY EDUCATIONAL ATTAINMENT,Population 25 years and over,S1501_C05_013E,14315687
Female,AGE BY EDUCATIONAL ATTAINMENT,Population 25 years and over,S1501_C05_013EA,
