topic,category,sub-category,id,value
BEDROOMS,Total housing units,1 bedroom,DP04_0040E,1901893.0
BEDROOMS,Total housing units,2 bedrooms,DP04_0041E,3882434.0
BEDROOMS,Total housing units,3 bedrooms,DP04_0042E,4732658.0
BEDROOMS,Total housing units,4 bedrooms,DP04_0043E,2427818.0
BEDROOMS,Total housing units,5 or more bedrooms,DP04_0044E,608378.0
BEDROOMS,Total housing units,No bedroom,DP04_0039E,622795.0
BEDROOMS,Total housing units,,DP04_0038E,14175976.0
GROSS RENT,Occupied units paying rent,"$1,000 to $1,499",DP04_0129E,1629755.0
GROSS RENT,Occupied units paying rent,"$1,500 to $1,999",DP04_0130E,1323648.0
GROSS RENT,Occupied units paying rent,"$2,000 to $2,499",DP04_0131E,762419.0
GROSS RENT,Occupied units paying rent,"$2,500 to $2,999",DP04_0132E,391290.0
GROSS RENT,Occupied units paying rent,"$3,000 or more",DP04_0133E,383503.0
GROSS RENT,Occupied units paying rent,$500 to $999,DP04_0128E,939983.0
GROSS RENT,Occupied units paying rent,Less than $500,DP04_0127E,277350.0
GROSS RENT,Occupied units paying rent,Median (dollars),DP04_0134E,1503.0
GROSS RENT,Occupied units paying rent,No rent paid,DP04_0135E,181738.0
GROSS RENT,Occupied units paying rent,,DP04_0126E,5707948.0
GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI),Occupied units paying rent (excluding units where GRAPI cannot be computed),15.0 to 19.9 percent,DP04_0138E,624925.0
GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI),Occupied units paying rent (excluding units where GRAPI cannot be computed),20.0 to 24.9 percent,DP04_0139E,683540.0
GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI),Occupied units paying rent (excluding units where GRAPI cannot be computed),25.0 to 29.9 percent,DP04_0140E,646550.0
GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI),Occupied units paying rent (excluding units where GRAPI cannot be computed),30.0 to 34.9 percent,DP04_0141E,534670.0
GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI),Occupied units paying rent (excluding units where GRAPI cannot be computed),35.0 percent or more,DP04_0142E,2531764.0
GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI),Occupied units paying rent (excluding units where GRAPI cannot be computed),Less than 15.0 percent,DP04_0137E,576825.0
GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI),Occupied units paying rent (excluding units where GRAPI cannot be computed),Not computed,DP04_0143E,291412.0
GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI),Occupied units paying rent (excluding units where GRAPI cannot be computed),,DP04_0136E,5598274.0
HOUSE HEATING FUEL,Occupied housing units,"Bottled, tank, or LP gas",DP04_0064E,422508.0
HOUSE HEATING FUEL,Occupied housing units,Coal or coke,DP04_0067E,1486.0
HOUSE HEATING FUEL,Occupied housing units,Electricity,DP04_0065E,3470566.0
HOUSE HEATING FUEL,Occupied housing units,"Fuel oil, kerosene, etc.",DP04_0066E,31508.0
HOUSE HEATING FUEL,Occupied housing units,No fuel used,DP04_0071E,433521.0
HOUSE HEATING FUEL,Occupied housing units,Other fuel,DP04_0070E,42524.0
HOUSE HEATING FUEL,Occupied housing units,Solar energy,DP04_0069E,79321.0
HOUSE HEATING FUEL,Occupied housing units,Utility gas,DP04_0063E,8364730.0
HOUSE HEATING FUEL,Occupied housing units,Wood,DP04_0068E,198102.0
HOUSE HEATING FUEL,Occupied housing units,,DP04_0062E,13044266.0
HOUSING OCCUPANCY,Total housing units,Homeowner vacancy rate,DP04_0004E,1.1
HOUSING OCCUPANCY,Total housing units,Occupied housing units,DP04_0002E,13044266.0
HOUSING OCCUPANCY,Total housing units,Rental vacancy rate,DP04_0005E,3.6
HOUSING OCCUPANCY,Total housing units,Vacant housing units,DP04_0003E,1131710.0
HOUSING OCCUPANCY,Total housing units,,DP04_0001E,14175976.0
HOUSING TENURE,Occupied housing units,Average household size of owner-occupied unit,DP04_0048E,3.01
HOUSING TENURE,Occupied housing units,Average household size of renter-occupied unit,DP04_0049E,2.88
