topic,category,sub-category,id,value
ANCESTRY,Total population,American,DP02_0124E,1190751.0
ANCESTRY,Total population,Arab,DP02_0125E,308903.0
ANCESTRY,Total population,Czech,DP02_0126E,78798.0
ANCESTRY,Total population,Danish,DP02_0127E,159157.0
ANCESTRY,Total population,Dutch,DP02_0128E,325780.0
ANCESTRY,Total population,English,DP02_0129E,2011759.0
ANCESTRY,Total population,French (except Basque),DP02_0130E,635305.0
ANCESTRY,Total population,French Canadian,DP02_0131E,105610.0
ANCESTRY,Total population,German,DP02_0132E,2842261.0
ANCESTRY,Total population,Greek,DP02_0133E,133425.0
ANCESTRY,Total population,Hungarian,DP02_0134E,114543.0
ANCESTRY,Total population,Irish,DP02_0135E,2336215.0
ANCESTRY,Total population,Italian,DP02_0136E,1422177.0
ANCESTRY,Total population,Lithuanian,DP02_0137E,47597.0
ANCESTRY,Total population,Norwegian,DP02_0138E,366559.0
ANCESTRY,Total population,Polish,DP02_0139E,464019.0
ANCESTRY,Total population,Portuguese,DP02_0140E,337671.0
ANCESTRY,Total population,Russian,DP02_0141E,379902.0
ANCESTRY,Total population,Scotch-Irish,DP02_0142E,209707.0
ANCESTRY,Total population,Scottish,DP02_0143E,480453.0
ANCESTRY,Total population,Slovak,DP02_0144E,24045.0
ANCESTRY,Total population,Subsaharan African,DP02_0145E,284001.0
ANCESTRY,Total population,Swedish,DP02_0146E,372251.0
ANCESTRY,Total population,Swiss,DP02_0147E,99952.0
ANCESTRY,Total population,Ukrainian,DP02_0148E,112356.0
ANCESTRY,Total population,Welsh,DP02_0149E,158575.0
ANCESTRY,Total population,West Indian (excluding Hispanic origin groups),DP02_0150E,89482.0
ANCESTRY,Total population,,DP02_0123E,39283497.0
COMPUTERS AND INTERNET USE,Total households,With a broadband Internet subscription,DP02_0153E,11303564.0
COMPUTERS AND INTERNET USE,Total households,With a computer,DP02_0152E,12131484.0
COMPUTERS AND INTERNET USE,Total households,,DP02_0151E,13044266.0
DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION,18 to 64 years,With a disability,DP02_0076E,1945386.0
DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION,18 to 64 years,,DP02_0075E,24388423.0
DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION,65 years and over,With a disability,DP02_0078E,1857899.0
DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION,65 years and over,,DP02_0077E,5390370.0
