"Column Name","Label"
"GEO_ID","Geography"
"NAME","Geographic Area Name"
"B08202_001E","Estimate!!Total:"
"B08202_001M","Margin of Error!!Total:"
"B08202_001MA","Annotation of Margin of Error!!Total:"
"B08202_001EA","Annotation of Estimate!!Total:"
"B08202_002E","Estimate!!Total:!!No workers"
"B08202_002M","Margin of Error!!Total:!!No workers"
"B08202_002MA","Annotation of Margin of Error!!Total:!!No workers"
"B08202_002EA","Annotation of Estimate!!Total:!!No workers"
"B08202_003E","Estimate!!Total:!!1 worker"
"B08202_003EA","Annotation of Estimate!!Total:!!1 worker"
"B08202_003M","Margin of Error!!Total:!!1 worker"
"B08202_003MA","Annotation of Margin of Error!!Total:!!1 worker"
"B08202_004E","Estimate!!Total:!!2 workers"
"B08202_004EA","Annotation of Estimate!!Total:!!2 workers"
"B08202_004M","Margin of Error!!Total:!!2 workers"
"B08202_004MA","Annotation of Margin of Error!!Total:!!2 workers"
"B08202_005E","Estimate!!Total:!!3 or more workers"
"B08202_005EA","Annotation of Estimate!!Total:!!3 or more workers"
"B08202_005M","Margin of Error!!Total:!!3 or more workers"
"B08202_005MA","Annotation of Margin of Error!!Total:!!3 or more workers"
"B08202_006E","Estimate!!Total:!!1-person household:"
"B08202_006EA","Annotation of Estimate!!Total:!!1-person household:"
"B08202_006M","Margin of Error!!Total:!!1-person household:"
"B08202_006MA","Annotation of Margin of Error!!Total:!!1-person household:"
"B08202_007E","Estimate!!Total:!!1-person household:!!No workers"
"B08202_007EA","Annotation of Estimate!!Total:!!1-person household:!!No workers"
"B08202_007M","Margin of Error!!Total:!!1-person household:!!No workers"
"B08202_007MA","Annotation of Margin of Error!!Total:!!1-person household:!!No workers"
"B08202_008E","Estimate!!Total:!!1-person household:!!1 worker"
"B08202_008EA","Annotation of Estimate!!Total:!!1-person household:!!1 worker"
"B08202_008M","Margin of Error!!Total:!!1-person household:!!1 worker"
"B08202_008MA","Annotation of Margin of Error!!Total:!!1-person household:!!1 worker"
"B08202_009E","Estimate!!Total:!!2-person household:"
"B08202_009EA","Annotation of Estimate!!Total:!!2-person household:"
"B08202_009M","Margin of Error!!Total:!!2-person household:"
"B08202_009MA","Annotation of Margin of Error!!Total:!!2-person household:"
"B08202_010E","Estimate!!Total:!!2-person household:!!No workers"
"B08202_010EA","Annotation of Estimate!!Total:!!2-person household:!!No workers"
"B08202_010M","Margin of Error!!Total:!!2-person household:!!No workers"
"B08202_010MA","Annotation of Margin of Error!!Total:!!2-person household:!!No workers"
"B08202_011E","Estimate!!Total:!!2-person household:!!1 worker"
"B08202_011M","Margin of Error!!Total:!!2-person household:!!1 worker"
"B08202_011MA","Annotation of Margin of Error!!Total:!!2-person household:!!1 worker"
"B08202_011EA","Annotation of Estimate!!Total:!!2-person household:!!1 worker"
"B08202_012E","Estimate!!Total:!!2-person household:!!2 workers"
"B08202_012M","Margin of Error!!Total:!!2-person household:!!2 workers"
"B08202_012MA","Annotation of Margin of Error!!Total:!!2-person household:!!2 workers"
"B08202_012EA","Annotation of Estimate!!Total:!!2-person household:!!2 workers"
"B08202_013E","Estimate!!Total:!!3-person household:"
"B08202_013EA","Annotation of Estimate!!Total:!!3-person household:"
"B08202_013M","Margin of Error!!Total:!!3-person household:"
"B08202_013MA","Annotation of Margin of Error!!Total:!!3-person household:"
"B08202_014E","Estimate!!Total:!!3-person household:!!No workers"
"B08202_014EA","Annotation of Estimate!!Total:!!3-person household:!!No workers"
"B08202_014M","Margin of Error!!Total:!!3-person household:!!No workers"
"B08202_014MA","Annotation of Margin of Error!!Total:!!3-person household:!!No workers"
"B08202_015E","Estimate!!Total:!!3-person household:!!1 worker"
"B08202_015EA","Annotation of Estimate!!Total:!!3-person household:!!1 worker"
"B08202_015M","Margin of Error!!Total:!!3-person household:!!1 worker"
"B08202_015MA","Annotation of Margin of Error!!Total:!!3-person household:!!1 worker"
"B08202_016E","Estimate!!Total:!!3-person household:!!2 workers"
"B08202_016EA","Annotation of Estimate!!Total:!!3-person household:!!2 workers"
"B08202_016M","Margin of Error!!Total:!!3-person household:!!2 workers"
"B08202_016MA","Annotation of Margin of Error!!Total:!!3-person household:!!2 workers"
"B08202_017E","Estimate!!Total:!!3-person household:!!3 workers"
