,SERIALNO,NP,VEH,HINCP,WIF
0,2017000000496,3,3.0,369400.0,1.0
1,2017000000567,2,1.0,103600.0,
2,2017000000954,2,3.0,56500.0,1.0
3,2017000001569,4,3.0,53800.0,1.0
4,2017000001843,2,3.0,106820.0,1.0
5,2017000002261,2,2.0,111000.0,
6,2017000002716,3,3.0,105000.0,2.0
7,2017000002867,1,1.0,16180.0,
8,2017000003161,4,2.0,101000.0,2.0
9,2017000003442,5,2.0,120000.0,1.0
10,2017000003685,1,1.0,25000.0,
11,2017000003932,3,2.0,39400.0,1.0
12,2017000005310,1,1.0,14400.0,
13,2017000005678,1,2.0,60000.0,
14,2017000005726,1,2.0,60800.0,
15,2017000006164,4,3.0,52700.0,1.0
16,2017000006318,2,1.0,23000.0,0.0
17,2017000006765,4,2.0,58600.0,1.0
18,2017000007342,0,,,
19,2017000007407,4,4.0,176000.0,2.0
20,2017000007825,1,1.0,27800.0,
21,2017000008274,2,2.0,43800.0,1.0
22,2017000008557,5,3.0,37000.0,2.0
23,2017000008700,1,1.0,14000.0,
24,2017000008742,2,2.0,53000.0,
25,2017000009471,2,2.0,33400.0,2.0
26,2017000009492,2,4.0,96000.0,2.0
27,2017000009705,4,6.0,95200.0,3.0
28,2017000010614,4,2.0,50000.0,2.0
29,2017000011181,1,1.0,3000.0,
30,2017000011676,2,2.0,47700.0,1.0
31,2017000011795,4,2.0,70900.0,1.0
32,2017000011889,2,2.0,568000.0,1.0
33,2017000012735,2,2.0,28800.0,0.0
34,2017000012935,0,,,
35,2017000013076,2,2.0,92000.0,2.0
36,2017000013147,1,2.0,40000.0,
37,2017000013654,2,2.0,28400.0,0.0
38,2017000014114,3,2.0,37400.0,
39,2017000014315,4,3.0,60300.0,2.0
40,2017000014674,2,2.0,90000.0,2.0
41,2017000015371,0,,,
42,2017000015581,2,2.0,359200.0,2.0
43,2017000016092,5,0.0,8900.0,0.0
44,2017000016185,1,2.0,50000.0,
45,2017000017433,0,,,
46,2017000017688,1,2.0,16000.0,
47,2017000017938,2,1.0,33500.0,1.0
48,2017000018560,1,0.0,6700.0,
49,2017000018599,3,3.0,178000.0,3.0
50,2017000018745,4,5.0,72500.0,3.0
51,2017000019932,2,2.0,47600.0,2.0
52,2017000020392,0,,,
53,2017000020709,1,1.0,49100.0,
54,2017000020938,3,2.0,24750.0,1.0
55,2017000021233,1,1.0,13600.0,
56,2017000021691,2,2.0,40100.0,1.0
57,2017000021778,3,3.0,136000.0,2.0
58,2017000023137,2,3.0,75100.0,2.0
59,2017000023806,1,2.0,35000.0,
60,2017000024082,1,0.0,15000.0,
61,2017000024209,4,2.0,83000.0,2.0
62,2017000024239,2,2.0,73600.0,0.0
63,2017000024271,3,2.0,46000.0,0.0
64,2017000024610,2,2.0,180800.0,1.0
65,2017000024713,1,1.0,8600.0,
66,2017000025181,4,2.0,65300.0,1.0
67,2017000025606,4,5.0,502000.0,3.0
68,2017000026339,2,0.0,30000.0,1.0
69,2017000026663,1,1.0,180000.0,
70,2017000026704,4,1.0,59800.0,2.0
71,2017000026844,1,2.0,35400.0,
72,2017000027188,2,2.0,61800.0,1.0
73,2017000027370,1,1.0,393700.0,
74,2017000027752,1,2.0,46000.0,
75,2017000027761,1,2.0,30000.0,
76,2017000027800,2,2.0,38000.0,2.0
77,2017000028397,2,2.0,162000.0,2.0
78,2017000029507,0,,,
79,2017000031188,5,3.0,100000.0,2.0
80,2017000031332,2,2.0,94000.0,2.0
81,2017000031334,2,3.0,78000.0,
82,2017000031382,2,2.0,44400.0,2.0
83,2017000031900,10,3.0,60900.0,
84,2017000032027,2,3.0,30000.0,1.0
85,2017000032432,0,,,
86,2017000032724,3,1.0,10500.0,0.0
87,2017000032799,4,3.0,82700.0,2.0
88,2017000032928,2,2.0,82000.0,1.0
89,2017000033567,1,1.0,31000.0,
90,2017000033645,2,3.0,132400.0,2.0
91,2017000033737,4,2.0,140100.0,2.0
92,2017000034147,2,0.0,15800.0,0.0
93,2017000034409,1,1.0,22700.0,
94,2017000034464,2,2.0,98010.0,
95,2017000034479,1,1.0,40100.0,
96,2017000034856,2,1.0,51000.0,2.0
97,2017000035263,2,2.0,37000.0,2.0
98,2017000035370,1,1.0,25500.0,
99,2017000035667,2,2.0,70000.0,2.0
100,2017000035781,2,2.0,22400.0,2.0
101,2017000035864,3,4.0,85000.0,2.0
102,2017000035911,2,3.0,37600.0,0.0
103,2017000036514,7,6.0,90400.0,1.0
104,2017000036670,0,,,
105,2017000036912,2,1.0,24000.0,0.0
106,2017000037886,6,3.0,93700.0,3.0
107,2017000039040,2,2.0,4180.0,0.0
108,2017000039401,2,3.0,97090.0,2.0
109,2017000039429,2,2.0,76500.0,2.0
110,2017000039928,2,5.0,67000.0,0.0
111,2017000040462,4,2.0,66200.0,3.0
112,2017000040556,0,,,
113,2017000041072,0,,,
114,2017000041466,2,3.0,37300.0,1.0
115,2017000041893,2,3.0,100000.0,1.0
116,2017000042068,4,2.0,163000.0,2.0
117,2017000042488,4,2.0,65000.0,2.0
118,2017000043990,1,3.0,90000.0,
119,2017000044279,2,2.0,68000.0,2.0
120,2017000045909,4,2.0,82000.0,2.0
121,2017000047395,1,1.0,14300.0,
122,2017000047483,2,2.0,30900.0,0.0
123,2017000047930,1,1.0,53000.0,
124,2017000048436,2,2.0,62500.0,1.0
125,2017000048442,2,1.0,45720.0,1.0
126,2017000048818,1,1.0,52800.0,
127,2017000048857,5,2.0,99100.0,2.0
128,2017000049084,5,4.0,78000.0,2.0
129,2017000049553,0,,,
130,2017000049611,0,,,
131,2017000050733,0,,,
132,2017000051842,0,,,
133,2017000052498,1,1.0,51500.0,
134,2017000053043,1,1.0,17900.0,
135,2017000053928,1,0.0,14300.0,
136,2017000054033,1,0.0,23400.0,
137,2017000054865,5,4.0,41500.0,2.0
138,2017000055122,4,5.0,115700.0,2.0
139,2017000056028,0,,,
140,2017000056451,2,2.0,41000.0,1.0
141,2017000056673,2,3.0,70000.0,2.0
142,2017000056681,2,1.0,55350.0,
143,2017000056793,1,1.0,28000.0,
144,2017000057738,2,2.0,30000.0,1.0
145,2017000057978,4,5.0,260200.0,3.0
146,2017000058079,1,2.0,20800.0,
147,2017000058371,1,1.0,11400.0,
148,2017000058583,6,2.0,9500.0,0.0
149,2017000059434,4,4.0,25000.0,
150,2017000060159,3,3.0,231800.0,2.0
151,2017000060177,5,2.0,202000.0,2.0
152,2017000060755,1,3.0,46000.0,
153,2017000060829,4,2.0,62900.0,
154,2017000060975,4,2.0,9400.0,2.0
155,2017000060987,0,,,
156,2017000061016,2,3.0,59000.0,2.0
157,2017000061092,0,,,
158,2017000062108,2,2.0,21290.0,0.0
159,2017000062173,2,1.0,41700.0,
160,2017000062245,2,2.0,41800.0,1.0
161,2017000063093,4,3.0,66000.0,2.0
162,2017000063406,2,3.0,102000.0,2.0
163,2017000063503,2,2.0,70000.0,2.0
164,2017000063692,2,2.0,71500.0,2.0
165,2017000063918,1,1.0,40000.0,
166,2017000064021,0,,,
167,2017000065830,8,3.0,114400.0,3.0
168,2017000065925,3,4.0,54000.0,3.0
169,2017000066062,6,1.0,0.0,0.0
170,2017000066607,5,2.0,22500.0,2.0
171,2017000066806,2,1.0,149300.0,0.0
172,2017000066957,2,2.0,66000.0,0.0
173,2017000067078,2,3.0,60000.0,2.0
174,2017000067207,2,1.0,68400.0,1.0
175,2017000067927,1,0.0,17500.0,
176,2017000068209,4,2.0,60000.0,2.0
177,2017000068741,2,2.0,103800.0,0.0
178,2017000068780,5,3.0,60900.0,1.0
179,2017000069439,3,4.0,43620.0,2.0
180,2017000070041,7,2.0,30000.0,1.0
181,2017000070300,4,6.0,332000.0,3.0
182,2017000070518,1,2.0,70000.0,
183,2017000071049,0,,,
184,2017000071068,5,1.0,38000.0,1.0
185,2017000071978,2,2.0,11300.0,1.0
186,2017000072273,2,4.0,115210.0,2.0
187,2017000072463,1,1.0,12000.0,
188,2017000072572,2,2.0,98000.0,0.0
189,2017000072614,2,1.0,31020.0,1.0
190,2017000073387,1,2.0,10500.0,
191,2017000073577,2,6.0,56010.0,
192,2017000073728,3,4.0,95000.0,3.0
193,2017000074443,2,3.0,123400.0,1.0
194,2017000074479,3,4.0,51400.0,1.0
195,2017000074755,1,2.0,30000.0,
196,2017000075013,2,2.0,3530.0,0.0
197,2017000075238,1,1.0,70000.0,
198,2017000075519,2,3.0,91700.0,1.0
199,2017000075682,2,2.0,40200.0,0.0
200,2017000076156,2,3.0,82000.0,2.0
201,2017000076502,3,2.0,685000.0,1.0
202,2017000078387,4,4.0,66000.0,2.0
203,2017000078507,1,2.0,46800.0,
204,2017000078775,1,1.0,14500.0,
205,2017000079590,1,2.0,79100.0,
206,2017000079782,2,3.0,103000.0,2.0
207,2017000079978,0,,,
208,2017000080008,0,,,
209,2017000080215,0,,,
210,2017000081107,1,3.0,22000.0,
211,2017000081167,1,1.0,32400.0,
212,2017000081187,2,1.0,40000.0,1.0
213,2017000081468,1,2.0,40000.0,
214,2017000081930,1,1.0,29800.0,
215,2017000082009,2,2.0,142000.0,0.0
216,2017000082350,2,2.0,28800.0,2.0
217,2017000082557,3,3.0,137000.0,2.0
218,2017000083512,2,2.0,47000.0,0.0
219,2017000083666,4,2.0,160000.0,2.0
220,2017000084036,1,1.0,21600.0,
221,2017000084173,0,,,
222,2017000084284,2,2.0,103600.0,1.0
223,2017000084527,2,1.0,20600.0,1.0
224,2017000084607,1,4.0,100000.0,
225,2017000085302,4,1.0,15100.0,1.0
226,2017000085483,2,3.0,62850.0,2.0
227,2017000085770,2,2.0,50000.0,
228,2017000085937,1,2.0,75000.0,
229,2017000085950,1,6.0,18000.0,
230,2017000086066,2,3.0,175000.0,2.0
231,2017000086285,1,1.0,24000.0,
232,2017000086708,2,2.0,117000.0,2.0
233,2017000087194,2,1.0,95300.0,2.0
234,2017000087476,2,2.0,60000.0,0.0
235,2017000087534,2,1.0,82400.0,2.0
236,2017000088066,2,2.0,50000.0,1.0
237,2017000089225,1,1.0,112300.0,
238,2017000089239,5,6.0,244400.0,3.0
239,2017000089465,1,1.0,13800.0,
240,2017000089817,3,2.0,114000.0,2.0
241,2017000090245,2,2.0,44000.0,1.0
242,2017000090285,1,1.0,30000.0,
243,2017000090782,2,3.0,99400.0,1.0
244,2017000090788,1,2.0,64000.0,
245,2017000091635,2,2.0,32800.0,
246,2017000092014,6,1.0,32800.0,1.0
247,2017000092299,2,4.0,98250.0,2.0
248,2017000092478,4,2.0,60000.0,2.0
249,2017000093178,1,2.0,246000.0,
250,2017000093400,2,2.0,8400.0,1.0
