,SERIALNO,AGEP,SCHL,SEX,RAC1P,HINCP,VEH,NP
0,2017000000496,adult,college,female,white,10,3.0,3.0
1,2017000000496,senior,college,male,white,10,3.0,3.0
2,2017000000496,adult,college,male,white,10,3.0,3.0
3,2017000000567,adult,college,female,white,8,1.0,2.0
4,2017000000567,adult,below-high,male,white,8,1.0,2.0
5,2017000000954,senior,High-school,female,white,6,3.0,2.0
6,2017000000954,senior,college,male,white,6,3.0,2.0
7,2017000001569,young-adult,college,female,white,6,3.0,4.0
8,2017000001569,child,below-high,female,white,6,3.0,4.0
9,2017000001569,child,below-high,male,white,6,3.0,4.0
10,2017000001569,young-adult,High-school,male,white,6,3.0,4.0
11,2017000001843,adult,Bachelor,female,white,8,3.0,2.0
12,2017000001843,senior,Bachelor,male,white,8,3.0,2.0
13,2017000002261,adult,High-school,male,other,8,2.0,2.0
14,2017000002261,adult,High-school,female,white,8,2.0,2.0
15,2017000002716,adult,college,female,white,8,3.0,3.0
16,2017000002716,adult,High-school,male,white,8,3.0,3.0
17,2017000002716,tenager,below-high,male,white,8,3.0,3.0
18,2017000002867,adult,college,male,white,3,1.0,1.0
19,2017000003161,adult,Graduate,female,white,8,2.0,4.0
20,2017000003161,adult,Bachelor,male,white,8,2.0,4.0
21,2017000003161,tenager,below-high,female,white,8,2.0,4.0
22,2017000003161,child,below-high,female,white,8,2.0,4.0
23,2017000003442,adult,Graduate,male,black,8,2.0,5.0
24,2017000003442,young-adult,High-school,male,black,8,2.0,5.0
25,2017000003442,tenager,below-high,female,black,8,2.0,5.0
26,2017000003442,tenager,below-high,female,black,8,2.0,5.0
27,2017000003442,tenager,below-high,male,black,8,2.0,5.0
28,2017000003685,senior,High-school,female,white,4,1.0,1.0
29,2017000003932,senior,High-school,male,native,5,2.0,3.0
30,2017000003932,adult,college,male,native,5,2.0,3.0
31,2017000003932,child,below-high,male,native,5,2.0,3.0
32,2017000005310,adult,High-school,male,white,2,1.0,1.0
33,2017000005678,adult,High-school,male,white,6,2.0,1.0
34,2017000005726,adult,college,male,white,6,2.0,1.0
35,2017000006164,adult,High-school,female,white,6,3.0,4.0
36,2017000006164,tenager,below-high,male,white,6,3.0,4.0
37,2017000006164,child,below-high,male,white,6,3.0,4.0
38,2017000006164,adult,High-school,male,white,6,3.0,4.0
39,2017000006318,adult,below-high,male,white,3,1.0,2.0
40,2017000006318,adult,college,female,white,3,1.0,2.0
41,2017000006765,adult,college,female,white,6,2.0,4.0
42,2017000006765,tenager,below-high,male,white,6,2.0,4.0
43,2017000006765,tenager,below-high,male,white,6,2.0,4.0
44,2017000006765,tenager,below-high,female,white,6,2.0,4.0
45,2017000007407,adult,Bachelor,female,white,9,3.0,4.0
46,2017000007407,adult,Bachelor,male,white,9,3.0,4.0
47,2017000007407,tenager,below-high,male,white,9,3.0,4.0
48,2017000007407,tenager,below-high,male,white,9,3.0,4.0
49,2017000007825,senior,High-school,female,other,4,1.0,1.0
50,2017000008274,senior,High-school,male,white,5,2.0,2.0
51,2017000008274,senior,Bachelor,female,white,5,2.0,2.0
52,2017000008557,adult,college,male,white,5,3.0,5.0
53,2017000008557,adult,below-high,female,white,5,3.0,5.0
54,2017000008557,tenager,below-high,male,white,5,3.0,5.0
55,2017000008557,child,below-high,female,white,5,3.0,5.0
56,2017000008557,child,below-high,male,white,5,3.0,5.0
57,2017000008700,adult,High-school,male,white,2,1.0,1.0
58,2017000008742,tenager,High-school,male,native,6,2.0,2.0
59,2017000008742,young-adult,High-school,male,native,6,2.0,2.0
60,2017000009471,adult,college,female,white,4,2.0,2.0
61,2017000009471,senior,High-school,male,white,4,2.0,2.0
62,2017000009492,adult,High-school,female,white,7,3.0,2.0
63,2017000009492,adult,Bachelor,male,white,7,3.0,2.0
64,2017000009705,adult,college,female,white,7,3.0,4.0
65,2017000009705,adult,college,male,white,7,3.0,4.0
66,2017000009705,tenager,below-high,male,white,7,3.0,4.0
67,2017000009705,tenager,below-high,male,white,7,3.0,4.0
68,2017000010614,young-adult,college,male,other,6,2.0,4.0
69,2017000010614,young-adult,Bachelor,female,white,6,2.0,4.0
70,2017000010614,child,below-high,male,white,6,2.0,4.0
71,2017000010614,child,below-high,male,white,6,2.0,4.0
72,2017000011181,senior,college,female,white,2,1.0,1.0
73,2017000011676,adult,college,female,white,5,2.0,2.0
74,2017000011676,senior,Bachelor,male,white,5,2.0,2.0
75,2017000011795,senior,High-school,female,native,6,2.0,4.0
76,2017000011795,senior,college,male,native,6,2.0,4.0
77,2017000011795,tenager,below-high,male,native,6,2.0,4.0
78,2017000011795,tenager,below-high,male,native,6,2.0,4.0
79,2017000011889,senior,Bachelor,female,white,10,2.0,2.0
80,2017000011889,senior,Graduate,male,white,10,2.0,2.0
81,2017000012735,senior,High-school,male,white,4,2.0,2.0
82,2017000012735,senior,college,female,white,4,2.0,2.0
83,2017000013076,adult,college,female,white,7,2.0,2.0
84,2017000013076,adult,college,male,white,7,2.0,2.0
85,2017000013147,senior,Bachelor,male,white,5,2.0,1.0
86,2017000013654,senior,High-school,male,white,4,2.0,2.0
87,2017000013654,senior,college,female,white,4,2.0,2.0
88,2017000014114,adult,college,male,white,5,2.0,3.0
89,2017000014114,tenager,below-high,female,white,5,2.0,3.0
90,2017000014114,adult,High-school,female,white,5,2.0,3.0
91,2017000014315,adult,college,female,white,6,3.0,4.0
92,2017000014315,adult,High-school,male,white,6,3.0,4.0
93,2017000014315,tenager,below-high,female,white,6,3.0,4.0
94,2017000014315,tenager,below-high,female,white,6,3.0,4.0
95,2017000014674,adult,college,male,white,7,2.0,2.0
96,2017000014674,adult,college,female,white,7,2.0,2.0
97,2017000015581,adult,Bachelor,male,white,10,2.0,2.0
98,2017000015581,adult,college,female,white,10,2.0,2.0
99,2017000016092,senior,High-school,male,native,2,0.0,5.0
100,2017000016092,adult,below-high,female,native,2,0.0,5.0
101,2017000016092,child,below-high,female,native,2,0.0,5.0
102,2017000016092,child,below-high,female,native,2,0.0,5.0
103,2017000016092,child,below-high,male,native,2,0.0,5.0
104,2017000016185,senior,High-school,male,white,6,2.0,1.0
105,2017000017688,adult,High-school,male,white,3,2.0,1.0
106,2017000017938,senior,High-school,female,white,4,1.0,2.0
107,2017000017938,senior,Bachelor,male,white,4,1.0,2.0
108,2017000018560,senior,High-school,female,white,2,0.0,1.0
109,2017000018599,adult,Bachelor,female,white,9,3.0,3.0
110,2017000018599,adult,Graduate,male,white,9,3.0,3.0
111,2017000018599,young-adult,Bachelor,female,white,9,3.0,3.0
112,2017000018745,young-adult,High-school,male,other,6,3.0,4.0
113,2017000018745,tenager,below-high,female,other,6,3.0,4.0
114,2017000018745,adult,High-school,male,white,6,3.0,4.0
115,2017000018745,adult,college,female,other,6,3.0,4.0
116,2017000019932,adult,college,female,white,5,2.0,2.0
117,2017000019932,senior,High-school,male,white,5,2.0,2.0
118,2017000020709,senior,college,female,white,5,1.0,1.0
119,2017000020938,adult,college,female,white,3,2.0,3.0
120,2017000020938,adult,college,male,white,3,2.0,3.0
121,2017000020938,child,below-high,female,white,3,2.0,3.0
122,2017000021233,senior,High-school,male,white,2,1.0,1.0
123,2017000021691,senior,High-school,male,white,5,2.0,2.0
124,2017000021691,senior,High-school,female,white,5,2.0,2.0
125,2017000021778,young-adult,Bachelor,female,white,8,3.0,3.0
126,2017000021778,young-adult,High-school,male,white,8,3.0,3.0
127,2017000021778,adult,college,male,white,8,3.0,3.0
128,2017000023137,senior,High-school,female,white,7,3.0,2.0
129,2017000023137,senior,below-high,male,white,7,3.0,2.0
130,2017000023806,adult,High-school,female,white,5,2.0,1.0
131,2017000024082,senior,below-high,male,white,3,0.0,1.0
132,2017000024209,adult,college,female,white,7,2.0,4.0
133,2017000024209,adult,college,male,white,7,2.0,4.0
134,2017000024209,child,below-high,female,white,7,2.0,4.0
135,2017000024209,child,below-high,male,white,7,2.0,4.0
136,2017000024239,senior,Bachelor,male,white,6,2.0,2.0
137,2017000024239,senior,High-school,female,white,6,2.0,2.0
138,2017000024271,senior,High-school,male,white,5,2.0,3.0
139,2017000024271,senior,High-school,female,white,5,2.0,3.0
140,2017000024271,adult,below-high,female,white,5,2.0,3.0
141,2017000024610,senior,Bachelor,male,white,9,2.0,2.0
142,2017000024610,senior,Bachelor,female,white,9,2.0,2.0
143,2017000024713,senior,Bachelor,female,native,2,1.0,1.0
144,2017000025181,adult,High-school,female,white,6,2.0,4.0
145,2017000025181,tenager,below-high,male,white,6,2.0,4.0
146,2017000025181,child,below-high,male,white,6,2.0,4.0
147,2017000025181,adult,High-school,male,white,6,2.0,4.0
148,2017000025606,adult,Graduate,male,white,10,3.0,4.0
149,2017000025606,adult,Graduate,female,white,10,3.0,4.0
150,2017000025606,young-adult,below-high,male,white,10,3.0,4.0
151,2017000025606,tenager,below-high,male,white,10,3.0,4.0
152,2017000026339,senior,Bachelor,female,white,4,0.0,2.0
153,2017000026339,adult,college,female,white,4,0.0,2.0
