Household Identifier,Person Identifier,"Incrementing travel day trip number, starting at 1 for each person in the file",Trip Start Time (HHMM),Trip End Time (HHMM),Trip Duration in Minutes,"Trip distance in miles, derived from route geometry returned by Google Maps API, or from reported loop-trip distance","Trip Mode, derived",Count of People on Trip,Count of Household Members on Trip,Household Vehicle Identifier Used on Trip,Transit wait time in minutes,Count of Transfers,Trip Time to Transit Station in Minutes,Parked or Dropped Off at Station,Time to Destination from Transit in Minutes,Person Identifier Who Drove on Trip,Trip Origin Purpose,Trip origin and destination at identical location,Household Vehicle Used on Trip,Household member drove on trip,Number of household members on trip including respondent,Number of non-household members on trip,Number of people on trip including respondent,Respondent was passenger on trip,Public transportation used on trip,"Generalized purpose of trip, home-based and non-home based",Time at destination,Weekend trip,"Trip distance in miles for personally driven vehicle trips, derived from route geometry returned by Google Maps API",Respondent drove on trip,Trip purpose summary,Household Person Identifier on Trip: 1,Household Person Identifier on Trip: 2,Household Person Identifier on Trip: 3,Household Person Identifier on Trip: 4,Household Person Identifier on Trip: 5,Household Person Identifier on Trip: 6,Household Person Identifier on Trip: 7,Household Person Identifier on Trip: 8,Household Person Identifier on Trip: 9,Household Person Identifier on Trip: 10,Household Person Identifier on Trip: 11,Household Person Identifier on Trip: 12,Household Person Identifier on Trip: 13,Unique identifier for every trip record in the file,Walk as mode used to get to public transit?,POV as mode used to get to public transit?,Bus as mode used to get to public transit?,Rail as mode used to get to public transit?,Subway as mode used to get to public transit?,Other mode used to get to public transit?,Walk as mode used to get from public transit?,POV as mode used to get from public transit?,Bus as mode used to get from public transit?,Rail as mode used to get from public transit?,Subway as mode used to get from public transit?,Other mode used to get from public transit?,Trip Destination Purpose,Travel day - day of week,Home Ownership,Count of household members,Count of household vehicles,Household income,Number of drivers in household,Household state,State FIPS for household address,Count of adult household members at least 18 years old,Number of workers in household,Date of travel day (YYYYMM),Person identifier of household respondent,"Life Cycle classification for the household, derived by attributes pertaining to age, relationship, and work status.","Metropolitan Statistical Area (MSA) category for the household's home address, based on household's home geocode and TIGER/Line Shapefiles.","Population size category of the Metropolitan Statistical Area (MSA), from the 2010-2014 five-year American Community Survey (ACS) API.",MSA heavy rail status for household,"Household's urban area classification, based on home address and 2014 TIGER/Line Shapefile",Urban area size where home address is located,Household in urban/rural area,"Price of gasoline, in cents, on respondent's travel day",2010 Census division classification for the respondent's home address,Census region classification for home address,"Grouping of household by combination of census division, MSA status, and presence of a subway system when population greater than 1 million",Race of household respondent,Hispanic status of household respondent,Core Based Statistical Area (CBSA) FIPS code for the respondent's home address,Sample where the case originated,Age,Educational Attainment,Gender,Primary Activity in Previous Week,Trip info from respondent or proxy,Worker status,"Driver status, derived",Final trip weight,Travel day trip purpose consistent with 1990 NPTS design.,"Trip distance in miles, adjusted for comparability to past surveys",Age (imputed),Gender (imputed),Vehicle Type,Urban / Rural indicator - Trip Origin Block group,Urban / Rural indicator - Trip Destination Block group,Category of the percent of renter-occupied housing in the census tract of the trip origin's location,Category of population density (persons per square mile) in the census tract of the trip origin's location,Category of housing units per square mile in the census tract of the trip origin's location,Category of workers per square mile in the census tract of the trip origin's location,Category of the percent of renter-occupied housing in the census block group of the trip origin's location,Category of population density (persons per square mile) in the census block group of the trip origin's location,Category of housing units per square mile in the census block group of the trip origin's location,Category of the percent of renter-occupied housing in the census tract of the trip destination's location,Category of population density (persons per square mile) in the census tract of the trip destination's location,Category of housing units per square mile in the census tract of the trip destination's location,Category of workers per square mile in the census tract of the trip destination's location,Category of the percent of renter-occupied housing in the census block group of the trip destination's location,Category of population density (persons per square mile) in the census block group of the trip destination's location,Category of housing units per square mile in the census block group of the trip destination's location
30295604,01,03,1100,1120,20,12.5,03,1,1,02,-1,-1,-1,-1,-1,01,16,02,01,01,2,0,2,02,02,HBSOCREC,100,02,12.5,01,01,01,01,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,302956040103,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,01,03,01,2,4,09,2,CA,06,2,0,201605,02,10,03,01,02,04,06,02,272.4,09,04,93,01,02,XXXXX,02,63,04,01,06,01,02,01,27891.5060320488,10,13.93875,63,01,01,C,R,30,7000,1500,1500,20,3000,1500,05,300,50,75,20,50,50
40755595,01,03,1418,1419,1,0.132,01,0,0,-1,-1,-1,-1,-1,-1,-1,11,02,02,-1,1,0,1,-1,02,NHB,1,02,-1,-1,10,01,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,407555950103,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,03,02,01,1,3,02,1,IA,19,1,1,201703,01,01,03,01,02,01,01,01,230.6,04,02,43,01,02,XXXXX,02,48,04,01,01,01,01,01,6274.04850455961,03,0.132,48,01,-1,C,C,50,7000,3000,3000,40,7000,3000,50,7000,3000,3000,40,7000,3000
40154698,01,03,1245,1250,5,2.647,05,0,0,03,-1,-1,-1,-1,-1,01,03,02,01,01,1,0,1,02,02,HBW,60,02,2.647,01,01,01,02,02,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,401546980103,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,01,06,01,3,3,08,3,MD,24,3,3,201703,01,02,03,02,02,01,01,01,253.0,05,03,53,01,02,XXXXX,02,55,04,01,01,01,01,01,131811.762698594,01,2.8415545,55,01,02,R,T,20,300,50,150,05,300,50,20,3000,750,1500,20,1500,750
40085084,02,01,0710,0830,80,3.332,10,1,0,-1,-1,-1,-1,-1,-1,-1,01,02,02,-1,1,1,2,-1,02,HBO,390,02,-1,-1,20,02,01,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,400850840201,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,08,06,02,2,1,04,1,NY,36,1,1,201703,01,05,03,02,02,01,01,01,252.2,02,01,23,06,01,XXXXX,02,15,01,01,-1,02,-1,02,214552.504130173,05,3.332,15,01,-1,C,S,30,3000,3000,3000,40,7000,3000,20,7000,1500,1500,20,7000,1500
30069698,01,01,1515,1530,15,2.87,03,0,0,01,-1,-1,-1,-1,-1,01,01,02,01,01,1,0,1,02,02,HBSHOP,5,02,2.87,01,40,01,02,02,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,300696980101,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,11,04,01,3,2,-7,2,TX,48,3,0,201610,01,10,02,05,02,01,04,01,215.2,07,03,72,06,02,19100,01,66,04,01,06,01,02,01,60081.7749954677,03,3.200337,66,01,01,S,C,20,3000,750,750,05,1500,750,40,3000,1500,1500,20,7000,3000
30185324,02,07,2030,2130,60,43.516,03,2,1,97,-1,-1,-1,-1,-1,02,11,02,02,01,2,1,3,02,02,HBSHOP,-9,01,43.516,01,01,01,01,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,301853240207,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,01,01,01,2,4,07,2,NC,37,2,2,201610,01,02,04,06,02,04,06,02,235.0,05,03,54,01,02,XXXXX,01,56,04,01,01,02,01,01,102090.956672,03,48.5246916,56,01,-1,T,R,40,1500,750,750,30,300,300,20,50,50,25,20,50,50
30439662,02,01,0915,0920,5,2.725,03,0,0,02,-1,-1,-1,-1,-1,02,17,02,01,01,1,0,1,02,02,NHB,90,02,2.725,01,50,02,01,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,304396620201,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,17,02,01,2,2,09,2,WI,55,2,2,201606,01,02,03,01,02,01,01,01,255.4,03,02,33,01,02,XXXXX,02,27,04,02,01,02,01,01,28835.0250661779,08,3.0386475,27,02,01,S,S,40,1500,750,750,05,3000,1500,40,1500,750,750,05,3000,750
40409199,02,02,0807,0812,5,1.275,06,1,1,01,-1,-1,-1,-1,-1,02,01,02,01,01,2,0,2,02,02,HBO,7,02,1.275,01,70,02,01,01,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,404091990202,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,06,04,01,3,3,06,2,TX,48,2,1,201704,01,06,02,05,02,01,04,01,223.6,07,03,72,02,02,19100,02,62,03,01,01,01,01,01,164260.823035987,04,1.4217525,62,01,04,C,C,30,7000,3000,3000,30,7000,1500,30,7000,3000,3000,30,7000,3000
30326399,04,03,1805,1818,13,3.397,04,1,1,03,-1,-1,-1,-1,-1,02,01,02,01,01,2,0,2,01,02,HBSHOP,17,02,-1,02,40,02,01,02,01,-1,-1,-1,-1,-1,-1,-1,-1,-1,303263990403,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,11,02,01,4,4,10,3,NC,37,3,1,201606,01,06,04,06,02,02,06,01,242.6,05,03,54,02,02,XXXXX,02,15,01,02,-1,02,-1,02,250577.930770574,03,3.7879947,15,02,03,R,R,20,300,50,75,05,300,300,20,300,50,75,05,300,300
30462202,01,02,1150,1207,17,1.559,03,2,2,01,-1,-1,-1,-1,-1,01,05,02,01,01,3,0,3,02,02,NHB,129,02,1.559,01,50,01,02,01,01,-1,-1,-1,-1,-1,-1,-1,-1,-1,304622020102,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,16,06,02,4,3,03,2,CA,06,2,2,201607,01,06,03,01,02,01,01,01,278.7,09,04,93,01,02,XXXXX,02,32,03,02,02,01,01,01,44404.4746274334,10,1.7384409,32,02,01,C,S,70,1500,300,350,70,7000,3000,60,3000,1500,1500,60,7000,1500
