,race,age,gender
32332,white,adult,male
40892,asian,adult,female
34835,black,adult,male
5924,asian,adult,female
37947,white,senior,female
32150,other,tenager,male
17575,other,young-adult,female
11129,asian,adult,female
25366,other,senior,male
33228,white,adult,female
20186,white,adult,male
25,black,tenager,female
13632,other,adult,male
23947,white,senior,female
23867,asian,child,male
6285,asian,senior,female
39296,white,senior,female
26562,white,adult,male
17733,white,senior,male
43081,white,adult,female
14648,white,adult,male
11031,white,adult,male
29972,white,adult,female
27323,asian,young-adult,male
27205,white,adult,male
28458,white,senior,female
42239,white,adult,female
36521,other,adult,female
43397,other,child,female
20985,asian,adult,female
44499,other,adult,male
16769,white,child,female
41037,other,adult,male
35276,other,senior,female
29844,asian,adult,female
39274,white,adult,male
37979,other,adult,female
25294,white,adult,male
18703,white,senior,male
35630,white,adult,male
1504,other,child,male
29712,asian,adult,male
212,white,adult,female
22400,asian,tenager,female
38485,white,senior,male
29713,white,young-adult,female
24280,white,senior,female
42566,other,tenager,male
40164,white,tenager,male
37627,other,tenager,male
44216,other,child,male
22847,white,senior,male
41387,other,adult,female
86,white,senior,male
4846,white,senior,female
35886,other,tenager,male
17792,asian,adult,male
21708,black,adult,female
18411,asian,adult,female
4538,black,young-adult,male
40098,white,adult,female
26969,white,tenager,female
2033,white,tenager,female
29701,white,adult,female
8257,white,adult,female
9733,white,adult,female
11154,white,tenager,female
9218,black,tenager,female
24626,asian,adult,female
27005,other,adult,female
35624,white,adult,female
22210,asian,adult,male
35668,black,tenager,male
26909,other,senior,female
25816,asian,adult,male
6488,asian,adult,female
3331,black,adult,male
7655,white,tenager,female
3150,white,tenager,female
20817,white,adult,female
4304,white,adult,male
30343,white,senior,female
2062,white,adult,female
16002,white,tenager,female
39147,black,adult,female
27644,white,senior,male
20037,white,senior,female
22399,asian,adult,female
31529,white,senior,female
7280,other,adult,female
4081,white,adult,male
35176,white,senior,female
31290,white,senior,female
29490,native,tenager,female
34571,white,senior,female
7784,white,adult,male
38899,other,tenager,male
36417,white,young-adult,female
23346,white,adult,male
2634,white,adult,female
5938,white,adult,male
41802,white,senior,female
33405,other,adult,male
2539,white,senior,male
27132,white,tenager,female
44078,white,adult,female
41248,other,adult,female
18975,white,tenager,male
34582,white,senior,male
38416,black,tenager,female
25331,asian,tenager,female
32860,white,tenager,female
44163,white,tenager,male
28473,white,adult,female
39120,white,adult,male
