"BUILDING_ID","TYPE","HEIGHT","SDO","WKT","LAT","LON"
793830127,"Unclassified Building/Landmark",3,oracle.sql.STRUCT@73aabf3e,"POLYGON (( 7.45798 9.06869, 7.45793 9.06867, 7.45796 9.06861, 7.45799 9.06862, 7.45801 9.06863, 7.45798 9.06869))",9.06864958904128,7.45797022831148
793830464,"Unclassified Building/Landmark",9,oracle.sql.STRUCT@7eabcbc6,"POLYGON (( 7.45949 9.07148, 7.45959 9.07153, 7.45953 9.07166, 7.45946 9.07162, 7.45946 9.0716, 7.45943 9.07159, 7.45949 9.07148))",9.07156733333433,7.45951077248946
793832235,"Unclassified Building/Landmark",3,oracle.sql.STRUCT@58dec862,"POLYGON (( 7.48547 9.06598, 7.48553 9.06599, 7.48552 9.06603, 7.48546 9.06601, 7.48547 9.06598))",9.06600296296396,7.48549629629595
793832308,"Unclassified Building/Landmark",7,oracle.sql.STRUCT@3f79f06d,"POLYGON (( 7.48105 9.07136, 7.48095 9.07127, 7.481 9.07122, 7.4811 9.07131, 7.48105 9.07136))",9.07129000000306,7.48102499999476
793832802,"Unclassified Building/Landmark",5,oracle.sql.STRUCT@eb21a6a,"POLYGON (( 7.48204 9.06103, 7.48204 9.06101, 7.48199 9.06101, 7.48199 9.06103, 7.48194 9.06102, 7.48194 9.061, 7.4819 9.061, 7.4819 9.06094, 7.48213 9.06095, 7.48213 9.061, 7.48208 9.061, 7.48208 9.06103, 7.48204 9.06103))",9.06097996795933,7.48201176281946
793832909,"Unclassified Building/Landmark",9,oracle.sql.STRUCT@2ee70581,"POLYGON (( 7.48487 9.07257, 7.48473 9.07257, 7.48473 9.07245, 7.48487 9.07245, 7.48487 9.07257))",9.07251000000348,7.4848
793832917,"Unclassified Building/Landmark",4,oracle.sql.STRUCT@5445e7,"POLYGON (( 7.47667 9.06416, 7.47667 9.06429, 7.47663 9.06429, 7.47663 9.06431, 7.47654 9.06431, 7.47654 9.06429, 7.47652 9.06429, 7.47652 9.06416, 7.47667 9.06416))",9.0642313380292,7.47659415492982
793832984,"Unclassified Building/Landmark",5,oracle.sql.STRUCT@705e2718,"POLYGON (( 7.48245 9.06101, 7.48249 9.06101, 7.48249 9.06103, 7.48254 9.06104, 7.48254 9.06109, 7.48249 9.06109, 7.48249 9.06108, 7.48245 9.06107, 7.48245 9.06101))",9.06105277258596,7.4824929906529
793833072,"Unclassified Building/Landmark",4,oracle.sql.STRUCT@6e211233,"POLYGON (( 7.48442 9.07174, 7.48442 9.07177, 7.48437 9.07177, 7.48437 9.07174, 7.48442 9.07174))",9.07175500000066,7.484395
793833177,"Unclassified Building/Landmark",3,oracle.sql.STRUCT@78fcc97b,"POLYGON (( 7.46032 9.05604, 7.46036 9.05604, 7.46036 9.05608, 7.46032 9.05608, 7.46032 9.05604))",9.05606000000019,7.46034
793833209,"Unclassified Building/Landmark",3,oracle.sql.STRUCT@5a25d0fe,"POLYGON (( 7.46688 9.05632, 7.46689 9.05654, 7.46676 9.05655, 7.46674 9.05633, 7.46688 9.05632))",9.05643365158686,7.46681737018212
793833339,"Unclassified Building/Landmark",14,oracle.sql.STRUCT@5b425a45,"POLYGON (( 7.47119 9.06117, 7.47121 9.06119, 7.47119 9.06121, 7.47135 9.06141, 7.47126 9.06147, 7.47109 9.06124, 7.47119 9.06117))",9.06132436363747,7.47121821484773
793833375,"Unclassified Building/Landmark",7,oracle.sql.STRUCT@3d146b94,"POLYGON (( 7.46412 9.05734, 7.46408 9.05734, 7.46395 9.05734, 7.46396 9.05724, 7.46412 9.05724, 7.46412 9.05726, 7.46412 9.05734))",9.05729050505577,7.46403747474717
793833397,"Unclassified Building/Landmark",9,oracle.sql.STRUCT@23bdda5c,"POLYGON (( 7.46574 9.06153, 7.46574 9.06145, 7.46588 9.06145, 7.46588 9.06153, 7.46584 9.06153, 7.46584 9.06154, 7.46579 9.06154, 7.46579 9.06153, 7.46574 9.06153))",9.06149192307998,7.46581021367514
793833443,"Unclassified Building/Landmark",4,oracle.sql.STRUCT@576b4cf5,"POLYGON (( 7.47651 9.06161, 7.47645 9.06154, 7.47655 9.06146, 7.4766 9.06153, 7.47651 9.06161))",9.06153511312525,7.47652663650344
793833467,"Unclassified Building/Landmark",5,oracle.sql.STRUCT@1eb2b42f,"POLYGON (( 7.47546 9.06173, 7.47537 9.06163, 7.47544 9.06157, 7.47553 9.06167, 7.47546 9.06173))",9.06165000000285,7.47544999999593
793833595,"Unclassified Building/Landmark",3,oracle.sql.STRUCT@e424a6,"POLYGON (( 7.46777 9.05506, 7.46782 9.05512, 7.4678 9.05515, 7.46774 9.05509, 7.46777 9.05506))",9.05510428571523,7.4677814285695
