POI_ID,POI_TYPE,LAT,LON
1141797860,Business Facility,9.05363,7.46567
1048163605,Hotel,9.02186,7.48901
1048162424,Embassy,9.07115,7.46773
1203119359,Hotel,9.08155,7.47731
1048699449,ATM,9.03531,7.48841
1141830608,Shopping,9.08277,7.46831
1083950167,School,9.02202,7.52087
1141833056,Hotel,9.03745,7.51752
1048158181,Business Facility,9.06426,7.49335
1017591844,Embassy,9.07289,7.48791
1141790367,Grocery Store,9.03116,7.58059
1048159993,Hospital,9.0773,7.50675
1141807000,Business Facility,9.0534,7.48476
1141832226,Hospital,9.00486,7.56331
1144459822,School,9.08152,7.32634
1083948732,Business Facility,9.07136,7.48592
1203121779,Hotel,9.06427,7.52708
1113314725,Other Accommodation,8.99485,7.3649
1096542847,Auto Service & Maintenance,9.06173,7.41872
1083948780,Business Facility,9.02227,7.48914
1141833295,Hotel,9.06432,7.4719
1017594183,Embassy,9.04751,7.52703
1113314736,School,8.99542,7.36589
1141825477,Grocery Store,9.04557,7.50134
1141804028,Residential Area/Building,9.08367,7.48683
1096543510,Restaurant,9.07958,7.41691
1113280882,ATM,9.02897,7.5687
1113281002,Other Accommodation,9.14908,7.32661
1048157813,Park/Recreation Area,9.06363,7.47996
1048159292,Grocery Store,9.03471,7.48766
1048158754,Other Accommodation,9.06033,7.47298
1113284376,Home Improvement & Hardware Store,9.07302,7.47608
1113285132,School,9.15043,7.32657
1141821266,Shopping,9.02303,7.47528
1048159534,Police Station,9.0314,7.47005
1141799499,Bank,9.0663,7.43884
1141807569,Business Facility,9.06118,7.466
1203126265,Hotel,9.15013,7.32384
1096543825,Business Facility,9.08481,7.46768
1144458044,School,9.1452,7.34394
1141799976,Business Facility,9.08005,7.41622
1144662364,School,9.06647,7.46089
1136368327,Park/Recreation Area,9.08579,7.47749
1048164083,Hotel,9.04067,7.50702
1141790683,Medical Service,8.96479,7.40307
1136370101,Specialty Store,9.10682,7.41056
1083948161,Auto Service & Maintenance,9.07678,7.43574
1144463440,Place of Worship,9.14618,7.37281
1136369049,Medical Service,9.09477,7.4952
1048165359,School,9.06516,7.41207
1141886839,Business Facility,9.01097,7.57646
1113281193,Police Station,9.03228,7.57522
1096546491,Embassy,9.04352,7.51879
1083947695,ATM,9.06489,7.45881
1048168644,School,9.04304,7.52895
1142410904,Government Office,9.08107,7.49401
1136368346,Specialty Store,9.10677,7.40731
1130379063,ATM,9.01296,7.56353
1141791505,Business Facility,9.10478,7.41731
1141792906,Specialty Store,9.13359,7.48789
1083949820,Hospital,9.06186,7.41166
1141803093,Business Facility,9.06551,7.43539
1141792939,Hotel,9.08104,7.46534
1048697691,ATM,9.06674,7.45475
1141817819,Business Facility,9.03342,7.39658
1096542779,Business Facility,9.0773,7.49426
1096542878,Hotel,9.0844,7.47246
1048163332,School,9.04915,7.50409
1141821564,Hotel,9.07185,7.43926
1137271448,ATM,9.06785,7.40157
1141807983,Bank,9.06218,7.49532
1048167372,Business Facility,9.06768,7.46598
1017600757,Business Facility,9.07163,7.47576
1202896916,Civic/Community Centre,9.02683,7.57815
1113284192,School,9.02734,7.56546
1203121738,Hotel,9.0699,7.46269
1017605471,School,9.1004,7.49268
1142404972,Business Facility,9.04263,7.48281
1113284929,Clothing Store,9.02607,7.49783
1017591475,Other Accommodation,9.09307,7.49905
1113276767,Specialty Store,9.07084,7.487
1096543454,Place of Worship,9.09644,7.41691
1144459897,Place of Worship,9.14515,7.33914
1141800676,Residential Area/Building,9.04468,7.47364
1113276691,Home Specialty Store,9.14219,7.35062
1141808052,Residential Area/Building,8.97346,7.18634
1048159293,Restaurant,9.03442,7.48724
1048166784,Business Facility,9.09353,7.49926
1048167205,Hospital,9.08611,7.48098
1113280775,Place of Worship,9.14938,7.33715
1083948934,ATM,9.07512,7.4948
1096547065,Government Office,9.03901,7.50149
1136370562,Business Facility,9.11192,7.42145
1141827400,Business Facility,9.02403,7.49511
1142410286,Government Office,9.0474,7.47458
1144442422,School,9.07576,7.4732
1017596235,Shopping,9.02619,7.48785
1142405517,Business Facility,9.07796,7.49381
1048168483,Other Accommodation,9.02266,7.48593
1048696830,ATM,9.01852,7.49193
1048159093,School,9.05045,7.50586
1048697620,ATM,9.08305,7.48877
1048160557,Grocery Store,9.07318,7.4757
1203197818,Shopping,9.07084,7.4871
1142407315,Grocery Store,9.0678,7.40124
1017591551,Hotel,9.0702,7.46192
1203197826,Shopping,9.06424,7.47851
1136370568,Cemetery,9.09587,7.41665
1048159741,Bank,9.03059,7.50105
1048930805,School,9.02404,7.47615
1144457568,Place of Worship,9.09785,7.41175
1141792929,Specialty Store,9.01752,7.58446
1141832225,Business Facility,9.00527,7.56371
1142403401,Business Facility,9.12342,7.39847
1130378224,Bank,8.9961,7.5706
1048167530,Business Facility,9.07473,7.47909
1096546095,Other Accommodation,9.10112,7.40642
1136370983,Police Station,9.09238,7.49437
1203121716,Restaurant,9.03452,7.48946
1130378778,ATM,9.15054,7.33044
1144500265,Place of Worship,9.13625,7.37691
1048158086,Place of Worship,9.07493,7.4715
1203121733,Hotel,9.07831,7.39197
1141810106,Government Office,9.05989,7.47458
1141822863,Place of Worship,9.03526,7.57517
1148775637,Pharmacy,9.10649,7.41357
1048165019,Grocery Store,9.04256,7.50409
1048167627,Business Facility,9.07863,7.46882
1141803953,Restaurant,9.09501,7.41606
1113284661,Medical Service,9.01257,7.56787
1017597686,Tourist Attraction,9.04012,7.46821
1113281487,Specialty Store,8.99548,7.46713
1113284330,Government Office,9.07076,7.49234
1048165647,Bank,9.04439,7.4933
1141824894,Embassy,9.09195,7.48224
1048168380,Restaurant,9.04507,7.52651
1144477107,School,8.99344,7.37185
1144445490,School,8.88402,7.22593
1202896591,Home Improvement & Hardware Store,9.06029,7.45606
1141822092,Specialty Store,9.01033,7.5702
1144498347,Place of Worship,8.9802,7.36548
1141792428,Government Office,9.02743,7.47397
1141809309,Business Facility,9.03057,7.58839
1141808015,Shopping,9.09518,7.21797
1136370549,Consumer Electronics Store,9.10197,7.40574
1144474918,School,8.98736,7.36018
1141808833,Business Facility,9.07313,7.50634
1017603577,Hospital,9.07936,7.46215
1048159234,Hotel,9.02372,7.49559
1141819839,Business Facility,9.047,7.52293
1136369623,Park/Recreation Area,9.10366,7.48833
1141809291,Business Facility,9.01446,7.4769
1083947464,Clothing Store,9.11677,7.41479
1048697590,ATM,9.07724,7.49872
1113281413,Place of Worship,9.14769,7.35516
1113284014,Government Office,9.08314,7.46546
1131904268,Bank,9.07267,7.49002
1141801371,Medical Service,9.0717,7.46232
1141798143,Government Office,9.12739,7.39109
1017601563,School,9.03312,7.4712
1048158303,Sports Centre,9.03709,7.49199
1203197794,Shopping,9.06944,7.46791
1144498618,Place of Worship,9.03403,7.57945
1048166787,Grocery Store,9.08458,7.47076
1017601261,Consumer Electronics Store,9.07463,7.48959
1048699604,ATM,9.07619,7.47763
1203115545,Shopping,9.06306,7.46357
1048158178,Grocery Store,9.01819,7.49229
