BUILDING_ID,TYPE,HEIGHT,SDO,WKT,LAT,LON
793830454,Unclassified Building/Landmark,5,,"POLYGON (( 7.45673 9.06942, 7.45671 9.06942, 7.45665 9.06942, 7.45665 9.06924, 7.45681 9.06924, 7.45681 9.06925, 7.4568 9.06935, 7.45678 9.06935, 7.45678 9.06939, 7.45673 9.06938, 7.45673 9.06942))",9.06932036809763,7.45672114519678
793833431,Unclassified Building/Landmark,6,,"POLYGON (( 7.46579 9.05546, 7.46579 9.05545, 7.46591 9.05538, 7.46592 9.05545, 7.46579 9.05546))",9.05543000000501,7.46586833333587
793830087,Unclassified Building/Landmark,5,,"POLYGON (( 7.4552 9.07331, 7.455 9.07351, 7.4549 9.07341, 7.45511 9.07322, 7.4552 9.07331))",9.07336421053867,7.45505070177926
793831692,Unclassified Building/Landmark,4,,"POLYGON (( 7.46625 9.0694, 7.46623 9.06931, 7.46643 9.06926, 7.46646 9.06935, 7.46625 9.0694))",9.06933023689945,7.46634302877023
793832271,Unclassified Building/Landmark,6,,"POLYGON (( 7.48064 9.06934, 7.48031 9.06933, 7.48032 9.06921, 7.48064 9.06923, 7.48064 9.06934))",9.06927766803496,7.48047502892479
793832351,Unclassified Building/Landmark,7,,"POLYGON (( 7.48313 9.06896, 7.48332 9.06909, 7.48324 9.0692, 7.48306 9.06907, 7.48313 9.06896))",9.06908013290127,7.48318839423017
793836246,Unclassified Building/Landmark,4,,"POLYGON (( 7.49333 9.0589, 7.49337 9.05892, 7.49333 9.05898, 7.49329 9.05896, 7.49333 9.0589))",9.05894000000039,7.49333000000147
793836036,Unclassified Building/Landmark,3,,"POLYGON (( 7.46568 9.05148, 7.46565 9.05146, 7.46569 9.05142, 7.46572 9.05144, 7.46569 9.05147, 7.46568 9.05148))",9.05145000000035,7.46568500000074
793831884,Unclassified Building/Landmark,5,,"POLYGON (( 7.49046 9.06654, 7.49039 9.06659, 7.49036 9.06656, 7.49043 9.06651, 7.49046 9.06654))",9.06655000000149,7.49041000000215
793836370,Unclassified Building/Landmark,4,,"POLYGON (( 7.46866 9.04475, 7.46872 9.04478, 7.4687 9.04481, 7.46865 9.04479, 7.46866 9.04475))",9.04478159420379,7.46868217391249
