LINK_ID,SDO,WKT
807262037,,"LINESTRING( 7.47848 9.03749, 7.47851 9.03764)"
807276310,,"LINESTRING( 7.47848 9.03749, 7.47827 9.03755, 7.47823 9.03756, 7.47814 9.03754)"
1152807323,,"LINESTRING( 7.34442 8.97281, 7.34467 8.97305, 7.34472 8.97344, 7.34485 8.97352)"
1152807341,,"LINESTRING( 7.34661 8.97387, 7.3472 8.97404)"
1152807339,,"LINESTRING( 7.34661 8.97387, 7.34627 8.97432)"
1211947435,,"LINESTRING( 7.34442 8.97281, 7.34408 8.97319)"
1152843508,,"LINESTRING( 7.22896 9.11264, 7.22913 9.11349)"
1167427976,,"LINESTRING( 7.49753 9.08694, 7.4978 9.08719, 7.4981 9.0875, 7.49831 9.08781, 7.49855 9.08823, 7.49879 9.08891, 7.49905 9.0902, 7.49927 9.09081)"
807132621,,"LINESTRING( 7.46247 9.07731, 7.46258 9.07733)"
807191253,,"LINESTRING( 7.46247 9.07731, 7.46243 9.07814)"
807042446,,"LINESTRING( 7.51721 9.0317, 7.5171 9.03173, 7.51626 9.03249, 7.51613 9.03247, 7.5159 9.03225, 7.51578 9.03231, 7.51525 9.03311)"
1154828719,,"LINESTRING( 7.43335 8.9378, 7.43345 8.93784)"
1154833403,,"LINESTRING( 7.53853 8.93921, 7.53874 8.93925, 7.53893 8.93928)"
1152652342,,"LINESTRING( 7.39641 8.90536, 7.39643 8.90566, 7.3965 8.90589)"
1152797625,,"LINESTRING( 7.26177 8.90794, 7.26179 8.90813, 7.26179 8.90832)"
1167624415,,"LINESTRING( 7.51307 9.05776, 7.51344 9.05793)"
1211617772,,"LINESTRING( 7.48455 8.92227, 7.48438 8.92235, 7.48416 8.92228)"
1154811061,,"LINESTRING( 7.49397 9.1127, 7.49403 9.11275, 7.4941 9.11279, 7.49416 9.11282, 7.49424 9.11286, 7.49436 9.11289)"
1168107221,,"LINESTRING( 7.4469 9.02219, 7.4443 9.02495)"
1168106526,,"LINESTRING( 7.30435 8.93709, 7.30506 8.93717)"
1211539389,,"LINESTRING( 7.38432 9.05632, 7.38579 9.05664)"
1154520692,,"LINESTRING( 7.42938 9.0583, 7.42953 9.05954, 7.4298 9.06125)"
1168094979,,"LINESTRING( 7.34286 8.98983, 7.34343 8.99003)"
1168095059,,"LINESTRING( 7.33846 8.98361, 7.33954 8.98406)"
1154690050,,"LINESTRING( 7.37251 9.09133, 7.37261 9.09184)"
1154690051,,"LINESTRING( 7.37251 9.09133, 7.37193 9.09143, 7.37191 9.09148, 7.37194 9.09172, 7.37197 9.09211)"
1154696836,,"LINESTRING( 7.29154 8.9517, 7.29184 8.95194)"
1154696837,,"LINESTRING( 7.29154 8.9517, 7.29143 8.95185, 7.29131 8.95192, 7.29125 8.95195, 7.2912 8.95209, 7.29102 8.95219)"
1154724208,,"LINESTRING( 7.28441 8.95309, 7.28429 8.95407)"
1154724207,,"LINESTRING( 7.28441 8.95309, 7.2846 8.95312, 7.28475 8.95319)"
1154748706,,"LINESTRING( 7.2572 8.96682, 7.25725 8.96709)"
1154748720,,"LINESTRING( 7.25797 8.96529, 7.25781 8.96547)"
1152843554,,"LINESTRING( 7.23759 9.11357, 7.23805 9.11378)"
