POI_ID,STREET_NAME,HOUSE_NUMBER,POSTAL_CODE,LAT,LON
1211051907,,,,9.1417,7.31526
1141831325,Ademola Adetokunbo Cres,,,9.07752,7.48706
1083949708,Aminu Kano Cres,,,9.07559,7.46421
1141799976,21 Rd,,,9.08005,7.41622
1210942676,,,,9.06254,7.49997
1141805723,Algiers St,,,9.06292,7.45727
1048930538,Circular Rd,,,9.06496,7.4996
1048159026,Ndjamena Cres,,,9.07867,7.46025
1048167431,Yedseram Cres,,,9.09295,7.50009
1209514876,,,,9.14943,7.32393
1141802861,Justice Sowemimo St,,,9.03381,7.51615
1096543073,,,,9.07796,7.41389
1017599063,Yakubu Gowon Cres,,,9.04241,7.52466
1203126156,Zuba-Garki Rd,,,9.06762,7.39999
1208949005,,,,9.11724,7.4061
1048157957,Herbert Macaulay Way,,,9.06688,7.45414
1048930805,,,,9.02404,7.47615
1136368346,51 Cres,,,9.10677,7.40731
1141793954,,,,9.04959,7.46066
1113284331,Lobito Cres,,,9.07122,7.48988
1113285131,,,,9.15009,7.3267
1142410286,Ogbogo Largema St,,,9.0474,7.47458
1113281375,,,,8.87918,7.23673
1130379063,,,,9.01296,7.56353
1048163000,,,,9.05291,7.50676
1141792929,,,,9.01752,7.58446
1096545919,Usuma St,,,9.07474,7.49943
1141822983,Julius Nyerere Cres,,,9.04673,7.52199
1141803773,Gwandu Clos,,,9.03373,7.47748
1141822007,,,,8.99037,7.36604
1048158086,Aminu Kano Cres,,,9.07493,7.4715
1113281424,,,,9.14977,7.35506
1130378778,,,,9.1505,7.33057
1202896210,Tafawa Balewa Way,,,9.03158,7.48193
1141886507,Aguiyi Ironsi St,,,9.08545,7.48189
1048168851,,,,9.09981,7.40769
1048161021,Nankar Clos,,,9.05626,7.46619
1142405853,,,,9.02455,7.40478
1048164639,Port Harcourt Cres,,,9.03865,7.5012
1096547376,Fidelis Makka St,,,9.00211,7.47291
1017594333,Yaounde St,,,9.07249,7.45799
1048160537,,,,9.06275,7.47172
1048158254,Sakete Clos,,,9.07518,7.48143
1141825115,,,,9.02774,7.49555
1048166530,Luanda Cres,,,9.07791,7.48799
1141800962,,,,9.08838,7.31719
1048163373,Aminu Kano Cres,,,9.08274,7.46797
1209514804,Annaba St,,,9.06905,7.45434
1113284375,Bozoum St,,,9.073,7.47603
1096543086,,,,9.09799,7.41145
1048166215,Yedseram Cres,,,9.08619,7.494
1096543522,115 Rd,,,9.09131,7.41044
1048166723,Ademola Adetokunbo Cres,,,9.07137,7.48392
1048168347,Bobo St,,,9.07773,7.49866
1136370654,Aminu Kano Cres,,,9.07914,7.47579
1083950101,,,,9.10203,7.40569
1141805254,,,,9.04268,7.47168
1017605084,Shehu Shagari Way,,,9.04784,7.50923
1096549009,Oladipo Diya Rd,,,9.0002,7.47195
1048165423,Ademola Adetokunbo Cres,,,9.07701,7.47826
1203115690,Ibrahim Babangida Way,,,9.0745,7.48261
1203126154,Obafemi Awolowo Way,,,9.06236,7.41761
1203121760,,,,9.10239,7.40471
1207655411,Sarki Muhktar Cres,,,9.00751,7.47449
1211517910,,,,9.00011,7.47271
1096543122,Zambezi Cres,,,9.0784,7.49208
1083949772,32 Rd,,,9.08293,7.41317
1083947698,Algiers St,,,9.0641,7.45927
1141795816,M-Tel St,,,9.08319,7.47306
1119199861,,,,9.14997,7.35501
1141883803,Zuba-Garki Rd,,,9.06591,7.39527
1141830608,Aminu Kano Cres,,,9.08277,7.46831
1141804266,,,,8.99363,7.37082
1048930776,,,,9.10796,7.4934
1207655493,Tafawa Balewa Way,,,9.04325,7.49484
1141833295,Sam Nujoma Clos,,,9.06439,7.47192
1211166044,A2,,,9.09537,7.21809
1144473913,52 Rd,,,9.10995,7.41276
