POI_ID,CUISINE_TYPE,LAT,LON
1115185055,Chicken,9.02782,7.57987
1141801669,Grill,9.06414,7.4834
1141829357,African Food,9.07185,7.46505
1208949099,African Food,9.14477,7.32357
1113284801,African Food,9.07065,7.48233
1208948911,Chicken,9.03406,7.48891
1113284599,Snacks & Beverages,9.14502,7.33811
1208949026,African Food,9.07867,7.49795
1208948985,African Food,9.07726,7.46208
1208948913,Fast Food,9.03653,7.47942
1208948975,Chicken,9.08233,7.46732
1113284932,International Food,9.08187,7.47706
1113284707,African Food,9.01425,7.56366
1113284719,Snacks & Beverages,9.01401,7.56373
1115185057,Snacks & Beverages,9.02814,7.58164
1208948955,African Food,9.06031,7.41684
1208949057,Chinese Food,9.09008,7.47739
1113284477,African Food,9.06343,7.45897
1113284596,African Food,9.14499,7.33822
1208949062,African Food,9.08833,7.49797
1048163607,International Food,9.02311,7.48892
1048163846,Snacks & Beverages,9.07504,7.46473
1048164318,African Food,9.08483,7.49041
1048164271,International Food,9.04482,7.5028
1048168377,International Food,9.04549,7.52537
1048168380,African Food,9.04507,7.52651
1048168393,International Food,9.07544,7.46642
1048168398,International Food,9.08103,7.4981
1096543885,African Food,9.08447,7.4874
1096543775,International Food,9.06626,7.42887
1096543603,African Food,9.07231,7.48952
1096543510,African Food,9.07956,7.41695
1096543604,Ice Cream,9.0722,7.48941
1141803953,African Food,9.09501,7.41606
1096543279,Snacks & Beverages,9.0308,7.49404
1141794232,Snacks & Beverages,9.15046,7.32343
1048164644,Chinese Food,9.03995,7.50211
1048164645,International Food,9.03982,7.50202
1048168970,African Food,9.07019,7.48808
1048168959,Snacks & Beverages,9.10316,7.40454
1083949185,African Food,9.11704,7.40493
1141805029,African Food,9.03178,7.47306
1083947712,International Food,9.06401,7.48323
1083947406,African Food,9.0773,7.50107
1083947861,African Food,9.03344,7.499
1141804232,Snacks & Beverages,8.9839,7.37217
1141804239,African Food,8.99033,7.36576
1141804229,African Food,8.98977,7.36013
1141794099,African Food,9.06523,7.42914
1141803996,African Food,9.01831,7.49195
1136370650,African Food,9.07372,7.47573
1136370550,African Food,9.10169,7.40601
1136370670,International Food,9.07864,7.47962
1136370575,African Food,9.09492,7.416
1136370551,African Food,9.10237,7.40537
1136370645,African Food,9.07885,7.47987
1136370547,African Food,9.10281,7.40496
1136370644,African Food,9.07354,7.47092
1136370577,African Food,9.09411,7.41549
1136370646,African Food,9.07881,7.47983
1136370583,African Food,9.11433,7.41122
1136370659,African Food,9.08834,7.47493
1136370661,African Food,9.0805,7.48582
1136370647,African Food,9.06807,7.49093
1136368326,African Food,9.08492,7.47678
1136368334,African Food,9.06171,7.4745
1207521601,African Food,9.03047,7.59035
1207521605,African Food,9.08813,7.47475
1137271930,African Food,9.06768,7.40342
1203126162,International Food,9.08251,7.46791
1203126174,African Food,9.07536,7.46387
1203126195,International Food,9.07325,7.47623
1203126173,International Food,9.07412,7.44939
1203126139,African Food,9.02239,7.48568
1203126148,African Food,9.04279,7.49485
1048165834,International Food,9.03181,7.49657
1048165936,African Food,9.0698,7.48866
1048166136,Chinese Food,9.0462,7.49599
1048166168,African Food,9.08424,7.48521
1096545777,African Food,9.03123,7.49497
1096546119,African Food,9.0114,7.47286
1096545921,African Food,9.07455,7.49755
1203121942,International Food,9.02409,7.4865
1203121706,International Food,9.03171,7.4967
1203121889,African Food,9.02426,7.48791
1203121729,International Food,9.07822,7.41419
1203121701,International Food,9.02287,7.48911
1203121775,International Food,9.07662,7.49994
1203121712,African Food,9.03216,7.47471
1048158362,African Food,9.09088,7.48855
1048158256,Snacks & Beverages,9.06209,7.41781
1048158080,International Food,9.07848,7.47945
1048158090,African Food,9.07328,7.47585
1048158056,African Food,9.07582,7.46365
1048159293,Snacks & Beverages,9.03436,7.48715
1141871504,Chicken,9.05318,7.47975
1113276771,International Food,9.0715,7.4855
1113276774,International Food,9.0736,7.47571
1113280822,African Food,9.01304,7.56374
1083947931,African Food,9.06745,7.46471
1141831304,African Food,9.10774,7.42191
1141831222,African Food,9.0803,7.46642
1136369037,African Food,9.07917,7.48667
1136369280,African Food,9.07752,7.48766
1113315952,African Food,9.00273,7.57242
1113315943,African Food,9.00037,7.57169
1113321370,International Food,9.0312,7.48153
1136371149,African Food,9.09871,7.40977
1136371139,African Food,9.07036,7.48546
1136371145,African Food,9.03474,7.4962
1083948425,African Food,9.10534,7.41728
1083947376,Burgers,9.08694,7.49758
1083947378,African Food,9.08691,7.49752
1136370186,African Food,9.06905,7.47922
1096543251,African Food,9.04126,7.50278
1096543085,African Food,9.09823,7.41093
1141804344,International Food,9.07301,7.4675
1136368601,African Food,9.06988,7.46909
1048158662,African Food,9.07301,7.47664
1113322636,African Food,9.02377,7.48733
1113321864,Grill,9.05908,7.46237
1136370187,African Food,9.0691,7.47914
1096543057,African Food,9.11756,7.40855
1113278186,African Food,9.03155,7.48186
1203121749,International Food,9.0768,7.46125
1048167326,Snacks & Beverages,9.06692,7.44419
1208949005,African Food,9.11724,7.4061
1017606642,African Food,9.04516,7.50233
1017606529,Snacks & Beverages,9.05287,7.4675
1017606455,Snacks & Beverages,9.07502,7.46499
1017592565,International Food,9.08501,7.46808
1017592044,Snacks & Beverages,9.01801,7.49015
1017599504,International Food,9.06294,7.47655
1017599754,African Food,9.07858,7.48003
1141797534,International Food,9.07868,7.47967
1141832974,African Food,9.0793,7.5082
1048162435,African Food,9.08027,7.48273
1083948559,African Food,9.10033,7.40825
1083948900,Chicken,9.04299,7.50168
1083948840,International Food,9.04572,7.49473
1141819257,African Food,9.08834,7.40941
1141817794,Snacks & Beverages,8.98662,7.36866
1141821269,African Food,9.10498,7.48814
1141821122,African Food,9.03359,7.48826
1141790402,African Food,9.02988,7.58736
1048166670,International Food,9.06569,7.43646
1017594851,Snacks & Beverages,9.0609,7.4691
1017594883,Snacks & Beverages,9.09071,7.498
1017605867,International Food,9.0732,7.4764
1017605841,Italian Food,9.08217,7.46893
1017605636,International Food,9.0648,7.47342
1048167845,International Food,9.09544,7.48165
1048167770,African Food,9.07263,7.46845
1048167771,African Food,9.07259,7.46884
1141887199,African Food,9.07838,7.47934
1017597614,Snacks & Beverages,9.02312,7.48803
1017597434,Snacks & Beverages,9.06403,7.48059
1017597920,Snacks & Beverages,9.07249,7.49193
1141788298,African Food,9.13589,7.35965
1141788487,Snacks & Beverages,9.08042,7.48267
