BUILDING_ID,TYPE,HEIGHT,SDO,WKT,LAT,LON
702347722,Unclassified Building/Landmark,7,,"POLYGON (( 8.39755 48.99707, 8.39764 48.99707, 8.39766 48.99718, 8.39757 48.99719, 8.39757 48.99716, 8.39742 48.99717, 8.3974 48.99699, 8.39754 48.99698, 8.39755 48.99707))",48.9970905501381,8.39751641232134
702346296,Unclassified Building/Landmark,3,,"POLYGON (( 8.38948 48.99706, 8.38943 48.9966, 8.38952 48.9966, 8.38953 48.99668, 8.38954 48.99684, 8.38964 48.99684, 8.38966 48.99705, 8.38956 48.99705, 8.38948 48.99706))",48.9968652219046,8.38953301645377
702426011,Unclassified Building/Landmark,12,,"POLYGON (( 8.3891 49.00591, 8.3891 49.00587, 8.38909 49.00581, 8.38916 49.00581, 8.38927 49.00581, 8.38928 49.0059, 8.3891 49.00591))",49.0058575221356,8.38918445427534
702516814,Unclassified Building/Landmark,11,,"POLYGON (( 8.39772 49.0133, 8.39757 49.01329, 8.39759 49.01318, 8.39774 49.01319, 8.39772 49.0133))",49.013240000005,8.39765500000668
702346626,Unclassified Building/Landmark,6,,"POLYGON (( 8.39143 49.00176, 8.39142 49.00165, 8.39134 49.00166, 8.39133 49.0016, 8.3915 49.00159, 8.3915 49.00156, 8.39156 49.00156, 8.39158 49.00175, 8.39153 49.00175, 8.39143 49.00176))",49.0016595630845,8.39147975725784
702324439,Unclassified Building/Landmark,12,,"POLYGON (( 8.40986 48.9964, 8.4097 48.9964, 8.4097 48.99629, 8.40979 48.99629, 8.40986 48.99629, 8.40986 48.9964))",48.996345000001,8.40978000000041
702322916,Unclassified Building/Landmark,11,,"POLYGON (( 8.4069 49.00899, 8.40676 49.00895, 8.40678 49.00891, 8.40666 49.00892, 8.40665 49.00885, 8.40694 49.00884, 8.40697 49.00886, 8.4069 49.00899))",49.0088984193466,8.40682161398306
702323751,Unclassified Building/Landmark,8,,"POLYGON (( 8.40745 49.00683, 8.40732 49.00683, 8.40732 49.00667, 8.40745 49.00667, 8.40745 49.00683))",49.0067499999761,8.407385
702322258,Unclassified Building/Landmark,14,,"POLYGON (( 8.40536 49.00137, 8.40537 49.00124, 8.4055 49.00124, 8.4055 49.00122, 8.4056 49.00122, 8.4056 49.00137, 8.40536 49.00137))",49.0013008243861,8.40548663083931
702328997,Unclassified Building/Landmark,9,,"POLYGON (( 8.39776 49.00829, 8.39768 49.00823, 8.39781 49.00816, 8.39785 49.0082, 8.398 49.00812, 8.39802 49.00816, 8.39794 49.0082, 8.39776 49.00829))",49.0082092314553,8.39783673358506
702284783,Unclassified Building/Landmark,7,,"POLYGON (( 8.40875 49.01816, 8.40866 49.01806, 8.4089 49.01798, 8.40925 49.01828, 8.40907 49.01837, 8.40893 49.01825, 8.40897 49.01824, 8.40884 49.01812, 8.40875 49.01816))",49.018164758656,8.40896866920941
702345810,Unclassified Building/Landmark,13,,"POLYGON (( 8.38963 49.01373, 8.38961 49.01358, 8.3899 49.01357, 8.38991 49.01367, 8.38984 49.01367, 8.38985 49.0138, 8.38977 49.0138, 8.38976 49.01372, 8.38963 49.01373))",49.0136608379052,8.38976090009266
