ACCESS_ID,AUTOMOBILES,BUSES,TAXIS,CARPOOLS,PEDESTRIANS,TRUCKS,DELIVERIES,EMERGENCY_VEHICLES,THROUGH_TRAFFIC,MOTORCYCLES
1023,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
32,N,N,N,N,Y,N,N,N,N,N
1007,Y,Y,Y,Y,Y,N,Y,Y,Y,Y
34,N,N,N,N,Y,N,N,Y,N,N
1015,Y,Y,Y,Y,Y,Y,Y,Y,N,Y
991,Y,Y,Y,Y,N,Y,Y,Y,Y,Y
38,N,N,N,N,Y,N,Y,Y,N,N
418,N,Y,Y,N,Y,N,N,Y,N,N
290,N,Y,N,N,Y,N,N,Y,N,N
1003,Y,Y,Y,Y,Y,N,N,Y,Y,Y
999,Y,Y,Y,Y,Y,N,Y,Y,N,Y
2,N,N,N,N,N,N,N,Y,N,N
39,N,N,N,N,Y,N,Y,Y,N,Y
166,N,N,Y,N,Y,N,Y,Y,N,N
611,Y,N,N,Y,Y,N,N,Y,N,Y
995,Y,Y,Y,Y,Y,N,N,Y,N,Y
258,N,Y,N,N,N,N,N,Y,N,N
386,N,Y,Y,N,N,N,N,Y,N,N
743,Y,N,Y,Y,Y,N,Y,Y,N,Y
747,Y,N,Y,Y,Y,N,N,Y,Y,Y
