LINK_ID,SDO,WKT
53183729,,"LINESTRING( 8.50617 48.94976, 8.50563 48.95009, 8.50541 48.95028)"
993066192,,"LINESTRING( 8.50617 48.94976, 8.50698 48.95019)"
538974824,,"LINESTRING( 8.49711 49.00455, 8.4972 49.0046, 8.49725 49.00466)"
538974826,,"LINESTRING( 8.49711 49.00455, 8.49697 49.00459, 8.49682 49.00463)"
589256622,,"LINESTRING( 8.35035 49.02046, 8.35061 49.02057)"
53187320,,"LINESTRING( 8.38569 49.03543, 8.38486 49.03608)"
1175102494,,"LINESTRING( 8.38214 49.02158, 8.38211 49.02166)"
53179642,,"LINESTRING( 8.38214 49.02158, 8.38405 49.02225)"
53192124,,"LINESTRING( 8.34318 49.02924, 8.34328 49.02934)"
1193606083,,"LINESTRING( 8.44945 48.9994, 8.45021 48.99934, 8.45091 48.99933, 8.45231 48.99938, 8.4532 48.99947)"
1193606085,,"LINESTRING( 8.44945 48.9994, 8.44954 49.00006)"
1193606084,,"LINESTRING( 8.44945 48.9994, 8.44915 48.99942, 8.44858 48.99948, 8.44718 48.99965, 8.44654 48.99974)"
805977022,,"LINESTRING( 8.43948 49.00631, 8.43982 49.00649)"
931106691,,"LINESTRING( 8.38217 48.99773, 8.38221 48.9981)"
1159615237,,"LINESTRING( 8.39404 48.99268, 8.39379 48.9927)"
930693511,,"LINESTRING( 8.40307 49.01572, 8.40282 49.01572, 8.40261 49.01574, 8.4025 49.0159)"
53188092,,"LINESTRING( 8.39016 48.99497, 8.39022 48.99524)"
78579950,,"LINESTRING( 8.37823 48.99125, 8.37829 48.99129)"
1225619686,,"LINESTRING( 8.46576 48.99454, 8.4661 48.99481)"
53178214,,"LINESTRING( 8.3137 49.05069, 8.31492 49.05257, 8.31681 49.05518)"
1221865095,,"LINESTRING( 8.47359 49.03809, 8.47385 49.03839, 8.47442 49.03885, 8.47528 49.03947, 8.47605 49.03988, 8.47633 49.04004, 8.47664 49.04034, 8.47722 49.04114)"
538979545,,"LINESTRING( 8.4833 48.96604, 8.48305 48.96622, 8.48282 48.96648, 8.48271 48.96677, 8.48268 48.96703)"
53178120,,"LINESTRING( 8.35545 49.05568, 8.35399 49.0572, 8.35275 49.05854, 8.35187 49.05945, 8.35168 49.05961, 8.35151 49.05981)"
574418528,,"LINESTRING( 8.47861 49.02093, 8.47837 49.02126)"
1222647185,,"LINESTRING( 8.41657 49.00415, 8.41625 49.00423)"
992521559,,"LINESTRING( 8.41027 48.9811, 8.41013 48.98122)"
1225186550,,"LINESTRING( 8.35521 48.99821, 8.355 48.99825)"
950551241,,"LINESTRING( 8.36316 48.9843, 8.36269 48.9845, 8.36258 48.98456, 8.3625 48.98464)"
53191704,,"LINESTRING( 8.39259 49.00862, 8.39214 49.00878)"
1227516061,,"LINESTRING( 8.41312 48.97968, 8.41338 48.97981)"
994046929,,"LINESTRING( 8.37039 49.03116, 8.37039 49.03188)"
805977023,,"LINESTRING( 8.43948 49.00631, 8.43948 49.00638, 8.43947 49.00643, 8.43945 49.00647, 8.43942 49.00651, 8.43936 49.00657)"
53186718,,"LINESTRING( 8.4472 48.98658, 8.44738 48.98679)"
53289763,,"LINESTRING( 8.37945 49.05096, 8.38109 49.05202)"
931027301,,"LINESTRING( 8.40345 48.99942, 8.40341 48.99952)"
993940421,,"LINESTRING( 8.32635 49.0367, 8.32659 49.03668, 8.32708 49.03668, 8.32732 49.03668, 8.32778 49.03671, 8.32828 49.03677)"
818520418,,"LINESTRING( 8.34682 49.03695, 8.3462 49.03741)"
1222002637,,"LINESTRING( 8.45309 49.04052, 8.45321 49.04092)"
1222000877,,"LINESTRING( 8.43657 49.01141, 8.43669 49.01142)"
1221999983,,"LINESTRING( 8.43358 49.02501, 8.43436 49.02531)"
1154546015,,"LINESTRING( 8.45064 49, 8.45093 49.00066)"
53182646,,"LINESTRING( 8.39838 48.98222, 8.39817 48.98309)"
930958032,,"LINESTRING( 8.39547 48.99586, 8.39532 48.99603)"
538973586,,"LINESTRING( 8.39108 49.03712, 8.39191 49.03764)"
1220812763,,"LINESTRING( 8.42113 49.01344, 8.42117 49.01374)"
716502450,,"LINESTRING( 8.45854 49.01845, 8.45824 49.01852, 8.45805 49.01855, 8.45788 49.01856, 8.45751 49.01854)"
59390470,,"LINESTRING( 8.43079 49.02508, 8.43089 49.02505, 8.43097 49.02508, 8.43099 49.02514, 8.43083 49.02534)"
1222004134,,"LINESTRING( 8.41925 49.0027, 8.41927 49.00294)"
53186024,,"LINESTRING( 8.46093 48.94093, 8.46144 48.94132)"
1090716170,,"LINESTRING( 8.39169 48.9676, 8.39155 48.96764)"
53186777,,"LINESTRING( 8.49022 49.00935, 8.49002 49.00959, 8.48989 49.00984)"
940646120,,"LINESTRING( 8.50667 49.00353, 8.50661 49.00389)"
991873378,,"LINESTRING( 8.36123 48.98747, 8.36144 48.98748, 8.36222 48.98805, 8.3624 48.98833, 8.36265 48.98863, 8.36287 48.98883, 8.36324 48.98907, 8.36366 48.98928, 8.36389 48.9894)"
53185434,,"LINESTRING( 8.37091 48.98053, 8.37106 48.98064, 8.37099 48.98072)"
53183753,,"LINESTRING( 8.507 48.9487, 8.50803 48.94905)"
773147471,,"LINESTRING( 8.37579 48.99389, 8.37547 48.99411, 8.37501 48.99444)"
1132266265,,"LINESTRING( 8.33416 48.99345, 8.33452 48.99376)"
1222004750,,"LINESTRING( 8.43698 49.01088, 8.43694 49.01125)"
931017454,,"LINESTRING( 8.40025 49.00317, 8.40046 49.00325)"
53179492,,"LINESTRING( 8.34855 49.02392, 8.34679 49.02577)"
78585440,,"LINESTRING( 8.38618 49.05585, 8.38699 49.05659)"
53179968,,"LINESTRING( 8.49871 49.0148, 8.49882 49.01488, 8.49952 49.01567)"
931027286,,"LINESTRING( 8.40368 48.99959, 8.40361 48.99965, 8.40354 48.99968, 8.40346 48.99968, 8.40336 48.99967)"
1134756123,,"LINESTRING( 8.34354 49.00119, 8.3432 49.00133)"
818520415,,"LINESTRING( 8.34664 49.03683, 8.34682 49.03695)"
1192529073,,"LINESTRING( 8.44955 48.99577, 8.44907 48.99587)"
834092167,,"LINESTRING( 8.47932 48.94661, 8.47956 48.94697)"
53188345,,"LINESTRING( 8.43112 49.00627, 8.43109 49.00644)"
589245884,,"LINESTRING( 8.35201 49.0214, 8.35219 49.02153)"
589239706,,"LINESTRING( 8.49714 49.00472, 8.49693 49.00475, 8.49654 49.0048, 8.4961 49.00488, 8.4957 49.00498)"
1227516632,,"LINESTRING( 8.41747 48.9786, 8.41706 48.97909)"
53183148,,"LINESTRING( 8.47535 48.96887, 8.47527 48.96895)"
53182540,,"LINESTRING( 8.35937 48.9845, 8.35935 48.98528)"
574418193,,"LINESTRING( 8.34088 48.99369, 8.34099 48.99375, 8.3411 48.9938)"
1221868360,,"LINESTRING( 8.3979 48.99966, 8.39841 48.99979)"
931057453,,"LINESTRING( 8.40174 48.99189, 8.40192 48.99194)"
53183798,,"LINESTRING( 8.4823 48.94627, 8.48302 48.9474)"
53185894,,"LINESTRING( 8.48781 48.95974, 8.48819 48.95977)"
53181683,,"LINESTRING( 8.3552 48.99529, 8.35584 48.99644)"
993940422,,"LINESTRING( 8.32828 49.03677, 8.3287 49.03682, 8.3292 49.03686, 8.3297 49.0369, 8.3302 49.03692, 8.3305 49.03692)"
53180558,,"LINESTRING( 8.3325 49.00532, 8.33434 49.00645)"
1157773286,,"LINESTRING( 8.42246 49.00454, 8.42272 49.00455, 8.423 49.00455)"
53178238,,"LINESTRING( 8.39552 49.05045, 8.39628 49.05052)"
1214124596,,"LINESTRING( 8.43936 49.04409, 8.44506 49.049)"
53181903,,"LINESTRING( 8.34896 48.99243, 8.35002 48.99328)"
1215877758,,"LINESTRING( 8.37199 48.97591, 8.37249 48.97615)"
909672033,,"LINESTRING( 8.40752 49.00489, 8.40742 49.00536)"
1201594947,,"LINESTRING( 8.44501 48.95284, 8.44703 48.95414, 8.4472 48.9544, 8.44727 48.9546)"
1225776421,,"LINESTRING( 8.36209 49.03857, 8.36211 49.03865, 8.36217 49.03884, 8.36221 49.03893, 8.36232 49.03908)"
1132353522,,"LINESTRING( 8.49389 49.00751, 8.49389 49.00764)"
1222003688,,"LINESTRING( 8.41624 48.9981, 8.41995 48.99931)"
1225609698,,"LINESTRING( 8.43689 48.98171, 8.43685 48.9822, 8.43665 48.98461)"
927129834,,"LINESTRING( 8.46164 49.00128, 8.46179 49.00116, 8.4619 49.00111, 8.46205 49.00111, 8.46254 49.0013)"
53291100,,"LINESTRING( 8.49345 49.0087, 8.49356 49.00871)"
53190913,,"LINESTRING( 8.34263 49.0259, 8.34146 49.02686, 8.34144 49.02698)"
1144150023,,"LINESTRING( 8.44444 49.00391, 8.44387 49.00403)"
931467570,,"LINESTRING( 8.38603 48.99716, 8.38657 48.99716)"
574415289,,"LINESTRING( 8.35281 49.01781, 8.35252 49.01828)"
931033358,,"LINESTRING( 8.39868 49.00252, 8.39972 49.00309)"
907924758,,"LINESTRING( 8.38567 49.00332, 8.38568 49.00389)"
53185231,,"LINESTRING( 8.44517 48.98759, 8.44531 48.98768)"
991671922,,"LINESTRING( 8.39788 49.05437, 8.39789 49.05445)"
1222533754,,"LINESTRING( 8.41818 49.01656, 8.41809 49.01683)"
874852537,,"LINESTRING( 8.40196 49.01253, 8.40257 49.01289)"
997223069,,"LINESTRING( 8.40252 48.99136, 8.40384 48.99167, 8.40401 48.99172)"
1221865803,,"LINESTRING( 8.34631 49.02729, 8.34645 49.02739)"
1221865114,,"LINESTRING( 8.48348 49.05582, 8.48361 49.05607, 8.48384 49.05673, 8.48413 49.05711, 8.4849 49.05778)"
871511403,,"LINESTRING( 8.36869 49.0054, 8.36889 49.00542, 8.36907 49.00543, 8.36922 49.00543)"
1197767021,,"LINESTRING( 8.41148 48.99627, 8.41135 48.99645)"
53183502,,"LINESTRING( 8.47158 48.95586, 8.4721 48.95612, 8.4725 48.95627)"
59390376,,"LINESTRING( 8.46307 49.02818, 8.463 49.02827, 8.46211 49.02871, 8.46202 49.02869, 8.46162 49.02833)"
53183385,,"LINESTRING( 8.40273 48.9626, 8.40386 48.96269, 8.40402 48.96276)"
1156769575,,"LINESTRING( 8.37874 48.99659, 8.3785 48.9966)"
1190667090,,"LINESTRING( 8.42313 49.02467, 8.42344 49.02485)"
53189388,,"LINESTRING( 8.40572 49.00721, 8.40554 49.00809)"
53191507,,"LINESTRING( 8.47765 49.00103, 8.4763 49.00162)"
53186263,,"LINESTRING( 8.4056 48.98093, 8.40594 48.981, 8.40605 48.98105)"
53181232,,"LINESTRING( 8.36261 48.99972, 8.36072 49.00034)"
722914892,,"LINESTRING( 8.44336 48.99844, 8.4446 48.99924)"
53187212,,"LINESTRING( 8.37507 49.01479, 8.37501 49.01509)"
936422982,,"LINESTRING( 8.45843 48.97867, 8.45908 48.97938)"
1221863604,,"LINESTRING( 8.4277 49.01464, 8.42768 49.01477)"
78580131,,"LINESTRING( 8.44061 48.98968, 8.43917 48.99005, 8.43802 48.99037)"
78609725,,"LINESTRING( 8.38569 49.05576, 8.38596 49.05594)"
53182208,,"LINESTRING( 8.36045 48.98917, 8.36073 48.98948, 8.36093 48.98954, 8.36352 48.98954, 8.36376 48.98951)"
1012247159,,"LINESTRING( 8.40396 48.98955, 8.40393 48.9896, 8.4039 48.98966, 8.40385 48.98979)"
931420231,,"LINESTRING( 8.37817 49.00547, 8.37791 49.00553, 8.37778 49.00555)"
1157727292,,"LINESTRING( 8.38864 48.99433, 8.38718 48.99439)"
992788339,,"LINESTRING( 8.45187 48.98918, 8.452 48.98918)"
1221576833,,"LINESTRING( 8.40935 49.00935, 8.40841 49.00939)"
53181747,,"LINESTRING( 8.46272 48.99544, 8.46301 48.99563)"
931214872,,"LINESTRING( 8.40197 49.00352, 8.40202 49.0039)"
1157112585,,"LINESTRING( 8.38138 48.99444, 8.3814 48.9946)"
777947032,,"LINESTRING( 8.36904 48.97969, 8.36812 48.9797)"
53181294,,"LINESTRING( 8.41565 48.9993, 8.41561 48.99992)"
914960629,,"LINESTRING( 8.43022 48.99905, 8.43044 48.99911, 8.43055 48.99916, 8.43062 48.99922, 8.43066 48.99928, 8.43067 48.99934, 8.43065 48.9994, 8.43059 48.99947, 8.43049 48.99954, 8.43025 48.99964, 8.43009 48.99972, 8.42998 48.99981, 8.42987 48.99992, 8.42975 49.00005, 8.42963 49.00017)"
53180947,,"LINESTRING( 8.33397 49.00218, 8.33314 49.00262)"
874859393,,"LINESTRING( 8.40565 49.01465, 8.40629 49.01501)"
994277947,,"LINESTRING( 8.43931 49.0329, 8.43924 49.03299, 8.4391 49.03304)"
1215993112,,"LINESTRING( 8.39548 49.02303, 8.39545 49.02307, 8.39608 49.02331)"
574378609,,"LINESTRING( 8.4668 49.00021, 8.46718 49.00012, 8.46738 49.00008, 8.46748 49.00009, 8.46773 49.00042, 8.46847 49.00145)"
53182907,,"LINESTRING( 8.45537 48.97541, 8.45652 48.97643)"
991797481,,"LINESTRING( 8.35317 49.00398, 8.3533 49.00413, 8.35338 49.00427, 8.35348 49.00445, 8.35351 49.0047, 8.35353 49.00486, 8.35347 49.00512, 8.35339 49.00526, 8.35332 49.00539)"
53189982,,"LINESTRING( 8.47301 48.99966, 8.47297 48.99982)"
53183360,,"LINESTRING( 8.41172 48.96315, 8.41151 48.96458)"
1228258750,,"LINESTRING( 8.37156 49.02858, 8.37157 49.02904)"
53190028,,"LINESTRING( 8.47304 48.99915, 8.47304 48.99933, 8.47303 48.99951)"
53191169,,"LINESTRING( 8.40495 48.98463, 8.40459 48.98473, 8.40427 48.98488)"
1198328486,,"LINESTRING( 8.3929 49.01445, 8.39275 49.01446, 8.39268 49.01446)"
1220848476,,"LINESTRING( 8.44076 49.02772, 8.44088 49.02779, 8.44097 49.02843)"
53190221,,"LINESTRING( 8.39661 48.99435, 8.39659 48.99448)"
992515191,,"LINESTRING( 8.41172 48.96315, 8.41192 48.9632, 8.41286 48.96353)"
1201889573,,"LINESTRING( 8.3625 48.98464, 8.36248 48.98473, 8.36246 48.98494, 8.36246 48.98504)"
53183693,,"LINESTRING( 8.51391 48.95135, 8.51324 48.95158)"
993022601,,"LINESTRING( 8.47214 48.98623, 8.47232 48.98623)"
53180186,,"LINESTRING( 8.35491 49.00961, 8.3546 49.00989)"
1132284040,,"LINESTRING( 8.45156 49.03211, 8.45156 49.03247)"
1048356184,,"LINESTRING( 8.32668 49.0358, 8.32706 49.03572, 8.32757 49.03565, 8.32836 49.03559, 8.32862 49.0356, 8.32894 49.03563, 8.3293 49.03569, 8.32978 49.03577, 8.33025 49.03588)"
53188167,,"LINESTRING( 8.43154 49.00976, 8.43182 49.00976)"
53186586,,"LINESTRING( 8.37683 49.01428, 8.37625 49.01431)"
53183578,,"LINESTRING( 8.47577 48.95359, 8.47555 48.95375, 8.47544 48.95391, 8.47541 48.95402, 8.47562 48.95433)"
802518621,,"LINESTRING( 8.39557 49.05325, 8.39553 49.0534)"
1201898223,,"LINESTRING( 8.3411 48.9938, 8.34112 48.99386, 8.34117 48.99391, 8.34129 48.99401, 8.34149 48.99416, 8.3418 48.99435, 8.34214 48.99455)"
53184370,,"LINESTRING( 8.315 49.04643, 8.31478 49.04651, 8.31417 49.0468)"
53187490,,"LINESTRING( 8.49877 48.99156, 8.49775 48.99193)"
809026806,,"LINESTRING( 8.38924 49.00335, 8.38933 49.00345)"
1192447524,,"LINESTRING( 8.48361 48.96632, 8.48348 48.96639, 8.48335 48.96651, 8.48326 48.96664, 8.4832 48.96677, 8.48313 48.96709, 8.48315 48.96733, 8.4832 48.96752, 8.48329 48.96777)"
991841202,,"LINESTRING( 8.36478 48.98596, 8.3648 48.98626, 8.3649 48.98638, 8.36498 48.98647, 8.36506 48.98657, 8.36518 48.98665, 8.36531 48.98668, 8.3654 48.98668, 8.36545 48.98671, 8.36552 48.98676)"
53190184,,"LINESTRING( 8.39532 48.99603, 8.39469 48.99678, 8.39452 48.99697, 8.39436 48.99718, 8.3943 48.99722)"
914935661,,"LINESTRING( 8.46558 49.01538, 8.46622 49.016, 8.46633 49.01611)"
991796017,,"LINESTRING( 8.36393 49.00795, 8.36394 49.00797, 8.36392 49.00805, 8.36383 49.00814)"
991663409,,"LINESTRING( 8.36329 49.03495, 8.36342 49.03499, 8.36352 49.03506)"
53185193,,"LINESTRING( 8.33262 48.98852, 8.33268 48.98854, 8.33275 48.98858, 8.33281 48.98862, 8.333 48.98886, 8.33354 48.98965)"
53189244,,"LINESTRING( 8.41704 49.00894, 8.41709 49.00897)"
53178896,,"LINESTRING( 8.35152 49.03492, 8.35259 49.0355, 8.35366 49.03605, 8.35456 49.03646, 8.3553 49.03674)"
991999573,,"LINESTRING( 8.43055 49.01483, 8.43027 49.0152)"
53178714,,"LINESTRING( 8.40115 49.04025, 8.40078 49.04059)"
895140546,,"LINESTRING( 8.42948 49.00557, 8.42972 49.00612)"
53191218,,"LINESTRING( 8.47731 48.95092, 8.47712 48.95111)"
1016196343,,"LINESTRING( 8.48231 49.03265, 8.48246 49.03288, 8.48302 49.03373, 8.48359 49.03458, 8.484 49.03521, 8.4862 49.03851)"
53185987,,"LINESTRING( 8.47798 48.94677, 8.47788 48.94693, 8.4778 48.94707)"
992798575,,"LINESTRING( 8.48897 49.00838, 8.48916 49.00868, 8.4892 49.00892, 8.4893 49.00909, 8.48935 49.00928, 8.48931 49.00952, 8.4892 49.00969, 8.48903 49.00988, 8.48899 49.01002, 8.48898 49.01029, 8.489 49.01042, 8.4891 49.01084, 8.48916 49.01106, 8.49007 49.01097)"
59386460,,"LINESTRING( 8.4455 49.03582, 8.44537 49.03588)"
711368046,,"LINESTRING( 8.46748 49.01667, 8.46838 49.01754)"
1190669253,,"LINESTRING( 8.3408 49.03105, 8.34053 49.03133)"
992431918,,"LINESTRING( 8.40498 48.97614, 8.40484 48.97643, 8.40465 48.97716)"
930693491,,"LINESTRING( 8.40568 49.0164, 8.40562 49.01657, 8.40561 49.01663, 8.40563 49.01668, 8.40576 49.01702, 8.4058 49.01711)"
53187948,,"LINESTRING( 8.37169 49.00894, 8.37213 49.00974)"
1218685179,,"LINESTRING( 8.50335 49.02201, 8.50271 49.02233)"
1134753727,,"LINESTRING( 8.33979 49.00052, 8.34018 49.00089)"
1191111928,,"LINESTRING( 8.36152 48.99568, 8.36123 48.99577)"
53184391,,"LINESTRING( 8.32056 49.04361, 8.32032 49.04366, 8.32007 49.04376)"
53184924,,"LINESTRING( 8.30882 48.99989, 8.30967 49.00008, 8.31206 49.00094, 8.31223 49.001, 8.31233 49.00104, 8.31312 49.00133)"
993927434,,"LINESTRING( 8.31406 49.0354, 8.31395 49.03543)"
53191561,,"LINESTRING( 8.35386 49.00853, 8.35367 49.00851, 8.35357 49.0085, 8.35348 49.00851, 8.35338 49.00853, 8.35326 49.00856)"
1132266303,,"LINESTRING( 8.33449 48.98745, 8.3354 48.98817, 8.33699 48.98944, 8.33774 48.99004)"
540930841,,"LINESTRING( 8.34676 49.01337, 8.34642 49.01341, 8.34609 49.01348)"
991999574,,"LINESTRING( 8.43055 49.01483, 8.43137 49.01503, 8.43177 49.01558, 8.43237 49.01623)"
53185194,,"LINESTRING( 8.33262 48.98852, 8.33253 48.98852, 8.33246 48.98853, 8.33199 48.98873)"
907924752,,"LINESTRING( 8.38429 49.0031, 8.3833 49.00315)"
894246529,,"LINESTRING( 8.41024 48.99617, 8.41018 48.99626, 8.4104 48.99657)"
1190886141,,"LINESTRING( 8.39808 49.01538, 8.39806 49.01555)"
53182857,,"LINESTRING( 8.40676 48.97654, 8.40672 48.97682, 8.40666 48.97705, 8.40657 48.97729, 8.40642 48.97762, 8.40628 48.97785, 8.40609 48.97812, 8.40602 48.97822)"
53186326,,"LINESTRING( 8.39311 48.96086, 8.39378 48.9609)"
53186394,,"LINESTRING( 8.44524 49.04304, 8.44448 49.04321)"
53191982,,"LINESTRING( 8.3666 48.98629, 8.36635 48.98639)"
53181899,,"LINESTRING( 8.44343 48.99298, 8.44377 48.99308, 8.44405 48.99313, 8.4444 48.99315)"
1228319534,,"LINESTRING( 8.43826 49.01858, 8.43802 49.01864)"
53187721,,"LINESTRING( 8.33487 49.00767, 8.33523 49.00767)"
59385326,,"LINESTRING( 8.34507 48.99893, 8.34498 48.99912)"
