LINK_ID,ACCESS_ID,FUNCTIONAL_CLASS,TRAVEL_DIRECTION,PRIVATE,TOLLWAY,FROM_SPEED_LIMIT,TO_SPEED_LIMIT,PUBLIC_ACCESS
53183729,1023,5,B,N,N,30,30,Y
993066192,1023,5,B,N,N,30,30,Y
538974824,1023,5,F,N,N,50,,Y
538974826,1023,4,T,N,N,,50,Y
589256622,32,5,B,N,N,,,Y
53187320,1023,3,B,N,N,50,50,Y
1175102494,32,5,B,N,N,,,Y
53179642,1023,5,B,N,N,30,30,Y
53192124,1023,3,F,N,N,50,,Y
1193606083,1007,5,B,N,N,100,100,Y
1193606085,32,5,B,N,N,,,Y
1193606084,1007,5,B,N,N,100,100,Y
805977022,1023,3,T,N,N,,60,Y
931106691,32,5,B,N,N,,,Y
1159615237,1023,5,B,N,N,30,30,Y
930693511,32,5,B,N,N,,,Y
53188092,1023,5,B,N,N,30,30,Y
78579950,1023,2,F,N,N,70,,Y
1225619686,32,5,B,N,N,,,Y
53178214,1023,5,B,N,N,50,50,Y
1221865095,34,5,B,N,N,,,Y
538979545,1015,5,B,N,N,5,5,Y
53178120,1015,5,B,N,N,30,30,Y
574418528,1023,3,B,N,N,70,70,Y
1222647185,32,5,B,N,N,,,Y
992521559,32,5,B,N,N,,,Y
1225186550,1023,5,B,N,N,30,30,Y
950551241,1023,4,B,N,N,50,50,Y
53191704,1023,4,B,N,N,50,50,Y
1227516061,1015,5,B,N,N,50,50,Y
994046929,1023,5,B,N,N,50,50,Y
805977023,1023,4,T,N,N,,50,Y
53186718,1023,3,B,N,N,60,60,Y
53289763,1023,5,B,N,N,30,30,Y
931027301,1023,3,F,N,N,50,,Y
993940421,1023,3,T,N,N,,60,Y
818520418,1023,5,B,N,N,30,30,Y
1222002637,32,5,B,N,N,,,Y
1222000877,1023,5,F,N,N,50,,Y
1221999983,1015,5,B,N,N,10,10,Y
1154546015,32,5,B,N,N,,,Y
53182646,1023,5,B,N,N,30,30,Y
930958032,1023,5,B,N,N,30,30,Y
538973586,1023,5,B,N,N,30,30,Y
1220812763,1015,5,B,Y,N,30,30,Y
716502450,1023,4,B,N,N,50,100,Y
