POI_ID,STREET_NAME,HOUSE_NUMBER,POSTAL_CODE,LAT,LON
1166095381,Schultheiß-Kiefer-Straße,4,76229,49.0075,8.49617
800764596,Erbprinzenstraße,27,76133,49.00884,8.39736
1011027091,Pfannkuchstraße,,76185,49.00986,8.34605
1193028807,Ludwig-Erhard-Allee,6,76137,49.00475,8.41641
1017890485,Kaiserstraße,89,76133,49.00931,8.40979
1178850509,Dornröschenweg,9,76189,48.99383,8.33426
1175957090,Passagehof,,76133,49.01146,8.3982
1108686993,Dammerstockstraße,1,76199,48.98431,8.40169
50610538,Kreuzstraße,5,76133,49.01003,8.40522
1001488696,Herweghstraße,4,76187,49.03127,8.34199
1039308091,Schwetzinger Straße,,76139,49.03165,8.45913
51774479,Pfinztalstraße,33,76227,48.99921,8.47096
1131727368,Lohwiesenweg,12,76135,48.98094,8.37804
1193953373,Kaiserstraße,217,76133,49.01001,8.39461
1112148238,Weinweg,39,76137,49.00817,8.44449
57569331,Am Entenfang,1,76185,49.01075,8.35989
1011104677,Durlacher Allee,,76139,49.00482,8.44626
800766640,Karlstraße,13,76133,49.01071,8.39516
1039275814,Lötzener Straße,18,76139,49.03556,8.44536
1103752732,Theodor-Rehbock-Straße,17,76131,49.00892,8.43952
1175957350,Bahnhofplatz,,76137,48.99449,8.4016
1131716827,,,76149,49.03229,8.36404
1039104941,Kaiserstraße,90,76133,49.00972,8.40168
1039206618,Wattstraße,8,76185,49.03247,8.35896
1017621223,Uhlandstraße,34,76135,49.00888,8.37466
898518214,Unterfeldstraße,6,76149,49.0462,8.3774
1070067521,Eckenerstraße,,76185,49.00157,8.34496
1202795663,B10,,76131,49.00343,8.42289
51773931,Am Wald,3,76149,49.03231,8.38826
1005164376,Am Alten Bahnhof,29,76149,49.04856,8.38041
1070067171,Kaiserallee,,76133,49.01038,8.38695
1017890531,Herrenstraße,2,76133,49.01069,8.40049
1148908854,Zeppelinstraße,17,76185,49.0031,8.35591
1108687029,Weinbrennerstraße,70,76185,49.00829,8.36799
1164824932,Sophienstraße,108,76135,49.00789,8.382
979355721,Ettlinger-Tor-Platz,1,76133,49.00564,8.4032
1164793238,Kaiserstraße,135,76133,49.00951,8.40491
1115848595,Beiertheimer Allee,2,76137,49.00437,8.40098
1005163732,Kleinsteinbacher Straße,14,76228,48.95467,8.51101
800752700,Waldstraße,24,76133,49.01042,8.39823
50609429,Zum Bergle,,76228,48.94762,8.50772
1017555765,,,76131,49.01092,8.40451
1005167655,Renckstraße,2,76133,49.00372,8.3965
1203173092,Carl-Metz-Straße,1,76185,49.01004,8.35435
1039210468,Kaiserstraße,66,76133,49.00954,8.40508
1039880448,Wilhelm-Leuschner-Straße,5,76189,48.98447,8.36281
1135445667,Ottostraße,10,76227,48.99652,8.44542
1103746351,Kaiserstraße,217,76133,49.01001,8.39462
1108694987,Hardtstraße,32,76185,49.01129,8.3567
1131731034,,,76133,49.00791,8.4009
1174481992,Tulpenstraße,,76199,48.97126,8.40478
1058556706,Kaiserstraße,126,76133,49.00997,8.39666
1135083805,Erbprinzenstraße,27,76133,49.00884,8.39736
1131735461,,,76137,48.99763,8.39334
1126224727,Am Wetterbach,40,76228,48.95781,8.46671
1108705502,Rüppurrer Straße,132,76137,48.99589,8.40533
898516215,Rosenweg,1,76199,48.97556,8.41302
1178879815,Im Speitel,56,76229,49.00752,8.5056
1070091403,Durlacher Allee,,76137,49.0045,8.4413
800765565,Kaiserstraße,141,76133,49.0096,8.40337
801780835,Essenweinstraße,7,76131,49.01014,8.42455
1039782033,Dürerstraße,3,76149,49.04614,8.3815
1039266237,Karlstraße,77,76137,48.99989,8.39401
1137449870,Zirkel,27,76131,49.01064,8.40138
800749380,Karlstraße,21,76133,49.00925,8.39504
50605752,Bismarckstraße,39,76133,49.01297,8.39321
57561520,Amalienstraße,55,76133,49.00914,8.39104
1115829589,Albert-Nestler-Straße,9,76131,49.02038,8.44106
1011026956,Am Zinken,,76149,49.05829,8.38331
1131716909,Keplerstraße,,76185,49.01699,8.36043
1206619146,Durlacher Allee,6,76131,49.00875,8.4179
800753225,Kaiserstraße,142,76133,49.01002,8.3955
1178879812,Mühlstraße,6,76229,49.00629,8.49672
1058556683,Körnerstraße,54,76135,49.0068,8.37626
1178852560,Karlstraße,87,76137,48.99914,8.39393
1039782032,Veilchenstraße,22,76131,49.00941,8.4277
898519414,Königsberger Straße,35,76139,49.03258,8.43946
1039814533,Neureuter Straße,4,76185,49.01795,8.35525
1132245303,Printzstraße,1,76139,49.02032,8.46067
1131724550,Hermann-Schneider-Allee,5,76189,49.0038,8.31983
1031198251,Werthmannstraße,9,76131,49.01642,8.42394
50610381,Amalienstraße,10,76133,49.00757,8.39568
1017890530,Kaiserstraße,137,76133,49.00952,8.40471
50612705,Werderstraße,63,76137,49.00153,8.40906
1039266249,Am Steinhäusle,2,76228,48.95776,8.46598
1112142129,Bahnhofplatz,8,76137,48.99458,8.3997
1115851474,Wattstraße,6,76185,49.03247,8.35896
1161449916,Ettlinger-Tor-Platz,1,76133,49.00564,8.40332
1139159586,Grötzinger Straße,57,76227,49.00182,8.48206
1039212930,Saumweg,3,76189,49.00279,8.32112
1070089220,Schwetzinger Straße,,76139,49.0432,8.461
1166357601,Ebertstraße,,76135,48.99486,8.38955
1164825533,Werrenstraße,11,76228,48.95404,8.51062
1137721111,An der RaumFabrik,33,76227,48.99739,8.46442
1174487442,,,76135,49.00331,8.386
1039243405,Welfenstraße,18,76137,48.99612,8.39158
1039814529,Lorenzstraße,15,76135,49.00208,8.38319
1039243410,Bernsteinstraße,22,76189,48.99519,8.35236
1194143015,Hansastraße,31,76189,49.01347,8.32294
1178851473,Moosalbstraße,16,76199,48.96565,8.39941
1039212952,Augartenstraße,24,76137,48.99914,8.40604
1108705478,Fritz-Erler-Straße,13,76133,49.00738,8.41021
1039259849,Kaiserstraße,22,76133,49.00936,8.40952
800056135,Ettlinger-Tor-Platz,1,76133,49.00564,8.40312
1108686601,Waldstraße,93,76133,49.00699,8.39236
1108686588,Mathystraße,5,76133,49.00228,8.39583
800765818,Waldstraße,65,76133,49.00867,8.39525
1100919588,Durlacher Allee,109,76137,49.00393,8.44439
1165531519,Gritznerstraße,11,76227,48.99877,8.4649
57569327,Kaiserstraße,217,76133,49.01001,8.39459
57564850,Ottostraße,18,76227,48.99698,8.43957
1165144608,B10,,76131,49.00403,8.4202
1017027840,,,76137,48.99202,8.4019
1039892567,Rosenweg,1,76199,48.97556,8.41302
1039266210,Heilbronner Straße,28,76131,49.01634,8.44116
800766372,Kronenstraße,25,76133,49.00816,8.40952
1137459219,Essenweinstraße,3,76131,49.01011,8.42408
50605091,Kaiserallee,91,76185,49.01094,8.37169
1193013391,Hertzstraße,21,76187,49.02353,8.366
1039262371,Karlsruher Straße,13,76139,49.02999,8.45789
50605236,Am Stadtgarten,5,76137,48.99629,8.40329
1058702274,Lameystraße,,76185,49.01147,8.35723
1137617935,Schenkenburgstraße,6,76135,48.9937,8.37216
1039165689,Durlacher Allee,11,76131,49.00831,8.4212
800765870,Waldstraße,57,76133,49.0089,8.39565
1178851948,Rheinstraße,41,76185,49.0112,8.36135
1166697511,,,76189,48.98429,8.36389
1178852719,Werderplatz,40,76137,49.00145,8.40747
1165846659,Hertzstraße,,76187,49.02323,8.36605
1070132235,Schwarzwaldstraße,,76137,48.99366,8.39653
1148921787,Waldstraße,24,76133,49.01042,8.39823
1070084708,Franz-Lust-Straße,,76185,49.01552,8.37517
800764690,Gartenstraße,2,76133,49.00419,8.39783
1204816875,Bernhardstraße,,76131,49.00889,8.42068
1031218924,Moldaustraße,37,76149,49.04827,8.39948
1017890521,Breite Straße,58,76135,48.99156,8.38906
1040338485,Gritznerstraße,11,76227,48.99877,8.46491
1017621171,Rubensstraße,21,76149,49.04437,8.3831
50603754,Gerwigstraße,47,76131,49.00845,8.43009
1131736026,Büchiger Allee,,76131,49.02526,8.4343
1164975459,Rastatter Straße,64,76199,48.9713,8.40384
1108686990,Kaiserstraße,82,76133,49.00966,8.40312
50604141,Jean-Ritzert-Straße,8,76227,48.99439,8.49369
1131716830,Abraham-Lincoln-Allee,1,76149,49.05601,8.40027
1192313125,Schwarzwaldstraße,92,76137,48.99192,8.40283
50605272,Amalienstraße,3,76133,49.00739,8.39607
1206272463,Knielinger Allee,,76133,49.01975,8.37292
801780839,Greschbachstraße,17,76229,49.03103,8.47463
1039243434,Saarlandstraße,96,76187,49.02992,8.34076
1112140871,Wiesenstraße,2,76228,48.95544,8.47007
1131737511,Edgar-Heller-Straße,19,76227,48.99421,8.43062
800766282,Herrenstraße,34,76133,49.00853,8.39791
1108687025,Ludwig-Wilhelm-Straße,20,76131,49.00953,8.42328
57552921,Hertzstraße,16,76187,49.02187,8.36589
50609428,,,76199,48.98969,8.40463
1108687008,Herrenstraße,29,76133,49.00829,8.3977
1192341349,Elsa-Brändström-Straße,,76228,48.97232,8.46191
1010630640,Ettlinger Straße,47,76137,48.99735,8.4043
1017621219,Erbprinzenstraße,15,76133,49.00822,8.39935
57563048,Haid-und-Neu-Straße,18,76131,49.01253,8.42645
1108686984,Waldstraße,35,76133,49.01035,8.39821
1070464359,Kaiserstraße,183,76133,49.00981,8.39893
1108686613,Rüppurrer Straße,22,76137,49.00281,8.41043
1132034810,Durmersheimer Straße,91,76185,49.0005,8.35064
1039892570,Bonhoefferstraße,12,76189,48.98852,8.36544
1178851019,Donaustraße,35,76199,48.98267,8.38983
1011027092,Auf der Breit,,76227,49.01806,8.47629
1193037883,Auer Straße,74,76227,48.99295,8.46125
1039243130,Battstraße,87,76199,48.96915,8.42344
1039823170,Marienstraße,80,76137,48.99843,8.40828
50610368,Markgrafenstraße,,76131,49.00784,8.41084
800755673,Englerstraße,10,76131,49.01086,8.41046
50611283,Stutenseer Allee,,76131,49.02028,8.41143
1058544180,Siegfriedstraße,2,76133,49.01459,8.37841
801780860,Gebhardstraße,35,76135,48.99366,8.38996
1131716903,Isoldestraße,,76185,49.01616,8.36674
1108712211,Niddastraße,32,76229,49.01002,8.49531
1137720874,Ritterstraße,19,76137,49.0039,8.39808
1070133359,Herrenalber Straße,,76199,48.96485,8.40505
1119234313,Ottostraße,22,76227,48.99683,8.43761
