POI_ID,HOUR_24,LAT,LON
1161471271,N,48.99571,8.46266
57565728,Y,49.03799,8.39415
50603047,N,49.01325,8.42833
800841281,Y,49.00914,8.39104
1131753139,Y,49.01039,8.40914
1131752853,Y,48.99069,8.37185
50614503,N,48.99614,8.45291
50614504,N,49.0018,8.48207
50603376,Y,49.03333,8.39499
50603372,Y,49.02545,8.44917
57566092,N,49.05637,8.3835
800709866,N,49.02125,8.45834
1161506869,N,49.00479,8.44619
1131753038,N,49.03579,8.43528
50603263,N,49.0334,8.43239
1131752723,N,49.007,8.34539
57556289,N,48.99617,8.36071
57556272,Y,49.01106,8.3754
50602849,N,48.99503,8.38956
1131752905,N,48.99636,8.41006
50603203,N,49.01414,8.35497
57561448,N,49.00563,8.37906
1131753366,N,48.99169,8.37511
57556277,N,48.96615,8.40525
1161506871,Y,48.96622,8.4044
57561450,N,48.95268,8.47114
50603204,N,49.00471,8.38696
50602851,N,49.00779,8.42283
50603000,Y,49.01509,8.43473
50613434,Y,49.0187,8.35485
1131753206,N,49.01092,8.35768
57553199,N,49.01584,8.39799
1070460206,N,49.02918,8.34739
1161506866,Y,48.99803,8.3498
57565729,Y,49.02481,8.35734
50603529,N,49.02931,8.3704
57566094,N,49.02933,8.34297
1131752850,N,49.00913,8.32778
