POI_ID,CUISINE_TYPE,LAT,LON
800056133,Pizza,49.00564,8.40332
1118660338,Spanisch,48.99968,8.47563
800762969,Italienisch,49.00306,8.40556
1058326211,Burger,49.00951,8.40491
800749380,Deutsch,49.00925,8.39504
800752194,Indisch,49.00942,8.40732
1176630103,Deutsch,48.99445,8.40144
1192830165,Türkisch,48.99735,8.41078
1141351366,Italienisch,48.97447,8.40465
1039257275,Deutsch,49.00181,8.32381
1039257286,Deutsch,49.0277,8.46
1193040005,Pizza,49.00973,8.38182
1204323125,Barbecue,48.99065,8.37631
1161465066,Kontinental,48.99419,8.39846
1166565588,Burger,49.00786,8.40372
844320896,Burger,49.03398,8.39424
1039880697,International,49.01091,8.40264
1039243169,Deutsch,49.03066,8.50524
1011013578,Deutsch,48.99698,8.45824
1193011496,Deutsch,49.00189,8.38976
1193037883,Italienisch,48.99295,8.46125
51773560,Deutsch,49.00764,8.35642
1039243156,Deutsch,49.00784,8.41363
1193037899,Pizza,49.01634,8.44088
1039212931,Imbiss,49.0101,8.40519
1192311677,Deutsch,49.00939,8.40882
1193011592,Pizza,49.01272,8.3585
1039247862,Deutsch,49.02314,8.39601
800753225,Deutsch,49.01002,8.3955
57558766,Deutsch,49.0018,8.47992
800754421,International,49.0016,8.40789
57564426,Chinesisch,49.00054,8.38595
800748746,Griechisch,49.00832,8.39767
800764857,Steakhouse,49.00899,8.40213
1192310576,Italienisch,49.0101,8.39778
50603872,Italienisch,49.01128,8.39654
50604186,Deutsch,49.00927,8.33366
57563179,Burger,48.99069,8.37186
1070156886,Italienisch,49.01107,8.39518
1144513604,Griechisch,48.99794,8.39381
1144513514,Italienisch,49.00377,8.42668
800748563,Italienisch,49.01083,8.39423
800753879,Deutsch,49.01174,8.39396
800765290,Mexikanisch,49.00877,8.39543
800765287,Indisch,49.00406,8.39458
844320886,Burger,49.005,8.44638
1011482223,Deutsch,48.99958,8.47304
1011482224,Italienisch,48.99989,8.47261
1164975459,Deutsch,48.9713,8.40384
1193028735,Italienisch,48.9996,8.47168
1193028461,Italienisch,49.00805,8.39595
1126226664,Italienisch,49.05511,8.38102
800756151,Chinesisch,49.00986,8.39861
1039254007,Deutsch,48.98423,8.40431
57540924,Indisch,49.00957,8.38989
1193011971,Französisch,49.01178,8.39809
1039243142,Arabisch,49.00764,8.38751
50604282,Französisch,49.00128,8.47289
1193037904,Pizza,48.99945,8.46741
1039243400,Deutsch,49.00078,8.35122
57552803,Italienisch,49.01021,8.40773
800760880,Italienisch,49.00721,8.39274
1193011571,Italienisch,49.01118,8.39965
50603823,Deutsch,49.00496,8.36842
50603844,Deutsch,49.00398,8.40797
1039257769,Griechisch,49.03382,8.35327
1039243165,Vegetarisch,49.00874,8.40228
1193011662,Italienisch,49.00795,8.38108
57540923,Italienisch,49.0077,8.39518
1039880842,Deutsch,49.00739,8.41918
1148918230,Deutsch,49.00099,8.38873
1193037874,Indisch,48.99608,8.44768
1193037864,Italienisch,48.9986,8.46301
1039243136,Imbiss,48.99979,8.47914
1193011906,Pizza,49.00909,8.41026
1192311791,Mexikanisch,49.01042,8.39823
57561539,Burger,49.00952,8.40545
50613049,Deutsch,48.99475,8.40041
1193011544,Türkisch,49.00895,8.39156
1039243171,Imbiss,49.01158,8.35925
1193012874,Italienisch,49.05511,8.38102
1039243138,Italienisch,49.00922,8.37631
