POI_ID,POI_TYPE,LAT,LON
1166095381,Restaurant,49.0075,8.49617
800764596,Supermarkt,49.00884,8.39736
1011027091,Industriegebiet,49.00986,8.34605
1193028807,Restaurant,49.00475,8.41641
1017890485,Geldautomat,49.00931,8.40979
1178850509,Medizinischer Service,48.99383,8.33426
1202795663,Restaurant,49.00343,8.42289
51773931,Restaurant,49.03231,8.38826
1005164376,Schule,49.04856,8.38041
1070067171,Nahverkehrsbahnhof,49.01038,8.38695
1017890531,Geldautomat,49.01069,8.40049
1148908854,Restaurant,49.0031,8.35591
1108687029,Fachgeschäft,49.00829,8.36799
1164824932,Postamt,49.00789,8.382
979355721,Elektrofachmarkt,49.00564,8.4032
1164793238,Kaffeehaus,49.00951,8.40491
1115848595,Geldautomat,49.00437,8.40098
1005163732,Schule,48.95467,8.51101
800752700,Sportzentrum,49.01042,8.39823
1175957090,Parkgarage,49.01146,8.3982
1108686993,Fachgeschäft,48.98431,8.40169
50610538,Parkgarage,49.01003,8.40522
1001488696,Supermarkt,49.03127,8.34199
1039308091,Schule,49.03165,8.45913
51774479,Rathaus / Stadtverwaltung,48.99921,8.47096
1131727368,Erholungsgebiet,48.98094,8.37804
1193953373,Nachtleben,49.01001,8.39461
1112148238,Fachgeschäft,49.00817,8.44449
57569331,Postamt,49.01075,8.35989
1011104677,Supermarkt,49.00482,8.44626
800766640,Buchhandlung,49.01071,8.39516
1039275814,Fachgeschäft,49.03556,8.44536
1103752732,Supermarkt,49.00892,8.43952
1175957350,Fachgeschäft,48.99449,8.4016
1131716827,Erholungsgebiet,49.03229,8.36404
1039104941,Bekleidungsgeschäft,49.00972,8.40168
1039206618,Autoreparatur,49.03247,8.35896
1017621223,Fachgeschäft,49.00888,8.37466
898518214,Schule,49.0462,8.3774
1070067521,Nahverkehrsbahnhof,49.00157,8.34496
1206272463,Parkplatz,49.01975,8.37292
801780839,Apotheke,49.03103,8.47463
1039243434,Restaurant,49.02992,8.34076
1112140871,Fachgeschäft,48.95544,8.47007
1131737511,Erholungsgebiet,48.99421,8.43062
50609429,Parkplatz,48.94762,8.50772
1017555765,Parkgarage,49.01092,8.40451
1005167655,Schule,49.00372,8.3965
1203173092,Medizinischer Service,49.01004,8.35435
1039210468,Restaurant,49.00954,8.40508
50604141,Restaurant,48.99439,8.49369
1131716830,Erholungsgebiet,49.05601,8.40027
1192313125,Andere Unterkünfte,48.99192,8.40283
50605272,Hotel,49.00739,8.39607
1039814534,Museum,49.00237,8.40731
1017890480,Bank,49.00738,8.34261
898523341,Geldautomat,48.99883,8.46447
57553136,Raststätte,48.95514,8.48298
801780846,Apotheke,49.01144,8.35947
1070508626,Sportzentrum,49.01001,8.39462
1193012096,Restaurant,49.02731,8.40748
1100438750,Fachgeschäft,49.00974,8.40031
1178852615,Medizinischer Service,49.00796,8.39574
1108536729,Fachgeschäft,49.00488,8.47078
1070067524,Nahverkehrsbahnhof,48.99853,8.34079
1039877198,Apotheke,49.0099,8.39788
1149443684,Hotel,49.00566,8.41024
57565575,Ausstellungszentrum / Messegelände,49.00294,8.39972
898513834,Schule,49.02506,8.36056
1178851393,Medizinischer Service,48.97036,8.40678
