GEO_ID,NAME,S2902_C01_001E,S2902_C01_001M,S2902_C01_002E,S2902_C01_002M,S2902_C01_003E,S2902_C01_003M,S2902_C01_004E,S2902_C01_004M,S2902_C01_005E,S2902_C01_005M,S2902_C01_006E,S2902_C01_006M,S2902_C01_007E,S2902_C01_007M,S2902_C01_008E,S2902_C01_008M,S2902_C01_009E,S2902_C01_009M,S2902_C01_010E,S2902_C01_010M,S2902_C01_011E,S2902_C01_011M,S2902_C01_012E,S2902_C01_012M,S2902_C01_013E,S2902_C01_013M,S2902_C01_014E,S2902_C01_014M,S2902_C01_015E,S2902_C01_015M,S2902_C01_016E,S2902_C01_016M,S2902_C01_017E,S2902_C01_017M,S2902_C01_018E,S2902_C01_018M,S2902_C01_019E,S2902_C01_019M,S2902_C01_020E,S2902_C01_020M,S2902_C02_001E,S2902_C02_001M,S2902_C02_002E,S2902_C02_002M,S2902_C02_003E,S2902_C02_003M,S2902_C02_004E,S2902_C02_004M,S2902_C02_005E,S2902_C02_005M,S2902_C02_006E,S2902_C02_006M,S2902_C02_007E,S2902_C02_007M,S2902_C02_008E,S2902_C02_008M,S2902_C02_009E,S2902_C02_009M,S2902_C02_010E,S2902_C02_010M,S2902_C02_011E,S2902_C02_011M,S2902_C02_012E,S2902_C02_012M,S2902_C02_013E,S2902_C02_013M,S2902_C02_014E,S2902_C02_014M,S2902_C02_015E,S2902_C02_015M,S2902_C02_016E,S2902_C02_016M,S2902_C02_017E,S2902_C02_017M,S2902_C02_018E,S2902_C02_018M,S2902_C02_019E,S2902_C02_019M,S2902_C02_020E,S2902_C02_020M
id,Geographic Area Name,Estimate!!Total!!Citizens 18 years and over,Margin of Error!!Total!!Citizens 18 years and over,Estimate!!Total!!Citizens 18 years and over!!AGE!!18 to 29 years,Margin of Error!!Total!!Citizens 18 years and over!!AGE!!18 to 29 years,Estimate!!Total!!Citizens 18 years and over!!AGE!!30 to 44 years,Margin of Error!!Total!!Citizens 18 years and over!!AGE!!30 to 44 years,Estimate!!Total!!Citizens 18 years and over!!AGE!!45 to 64 years,Margin of Error!!Total!!Citizens 18 years and over!!AGE!!45 to 64 years,Estimate!!Total!!Citizens 18 years and over!!AGE!!65 years and over,Margin of Error!!Total!!Citizens 18 years and over!!AGE!!65 years and over,Estimate!!Total!!Citizens 18 years and over!!SEX!!Male,Margin of Error!!Total!!Citizens 18 years and over!!SEX!!Male,Estimate!!Total!!Citizens 18 years and over!!SEX!!Female,Margin of Error!!Total!!Citizens 18 years and over!!SEX!!Female,Estimate!!Total!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!Less than 9th grade,Margin of Error!!Total!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!Less than 9th grade,"Estimate!!Total!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!9th to 12th grade, no diploma","Margin of Error!!Total!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!9th to 12th grade, no diploma",Estimate!!Total!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!High school graduate (includes equivalency),Margin of Error!!Total!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!High school graduate (includes equivalency),"Estimate!!Total!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!Some college, no degree","Margin of Error!!Total!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!Some college, no degree",Estimate!!Total!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!Associate's degree,Margin of Error!!Total!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!Associate's degree,Estimate!!Total!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!Bachelor's degree,Margin of Error!!Total!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!Bachelor's degree,Estimate!!Total!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!Graduate or professional degree,Margin of Error!!Total!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!Graduate or professional degree,Estimate!!Total!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!High school degree or higher,Margin of Error!!Total!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!High school degree or higher,Estimate!!Total!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!Bachelor's degree or higher,Margin of Error!!Total!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!Bachelor's degree or higher,"Estimate!!Total!!Citizens 18 years and over!!POVERTY STATUS!!Total Citizens, 18 years and older, for whom poverty status is determined","Margin of Error!!Total!!Citizens 18 years and over!!POVERTY STATUS!!Total Citizens, 18 years and older, for whom poverty status is determined",Estimate!!Total!!Citizens 18 years and over!!POVERTY STATUS!!Income in the past 12 months below poverty level,Margin of Error!!Total!!Citizens 18 years and over!!POVERTY STATUS!!Income in the past 12 months below poverty level,Estimate!!Total!!Citizens 18 years and over!!POVERTY STATUS!!Income in the past 12 months at or above the poverty level,Margin of Error!!Total!!Citizens 18 years and over!!POVERTY STATUS!!Income in the past 12 months at or above the poverty level,"Estimate!!Total!!Citizens 18 years and over!!HOUSEHOLD INCOME (IN 2020 INFLATION-ADJUSTED DOLLARS)!!Median Household Income for Households with a Citizen, Voting-Age Householder","Margin of Error!!Total!!Citizens 18 years and over!!HOUSEHOLD INCOME (IN 2020 INFLATION-ADJUSTED DOLLARS)!!Median Household Income for Households with a Citizen, Voting-Age Householder",Estimate!!Percent!!Citizens 18 years and over,Margin of Error!!Percent!!Citizens 18 years and over,Estimate!!Percent!!Citizens 18 years and over!!AGE!!18 to 29 years,Margin of Error!!Percent!!Citizens 18 years and over!!AGE!!18 to 29 years,Estimate!!Percent!!Citizens 18 years and over!!AGE!!30 to 44 years,Margin of Error!!Percent!!Citizens 18 years and over!!AGE!!30 to 44 years,Estimate!!Percent!!Citizens 18 years and over!!AGE!!45 to 64 years,Margin of Error!!Percent!!Citizens 18 years and over!!AGE!!45 to 64 years,Estimate!!Percent!!Citizens 18 years and over!!AGE!!65 years and over,Margin of Error!!Percent!!Citizens 18 years and over!!AGE!!65 years and over,Estimate!!Percent!!Citizens 18 years and over!!SEX!!Male,Margin of Error!!Percent!!Citizens 18 years and over!!SEX!!Male,Estimate!!Percent!!Citizens 18 years and over!!SEX!!Female,Margin of Error!!Percent!!Citizens 18 years and over!!SEX!!Female,Estimate!!Percent!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!Less than 9th grade,Margin of Error!!Percent!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!Less than 9th grade,"Estimate!!Percent!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!9th to 12th grade, no diploma","Margin of Error!!Percent!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!9th to 12th grade, no diploma",Estimate!!Percent!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!High school graduate (includes equivalency),Margin of Error!!Percent!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!High school graduate (includes equivalency),"Estimate!!Percent!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!Some college, no degree","Margin of Error!!Percent!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!Some college, no degree",Estimate!!Percent!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!Associate's degree,Margin of Error!!Percent!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!Associate's degree,Estimate!!Percent!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!Bachelor's degree,Margin of Error!!Percent!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!Bachelor's degree,Estimate!!Percent!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!Graduate or professional degree,Margin of Error!!Percent!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!Graduate or professional degree,Estimate!!Percent!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!High school degree or higher,Margin of Error!!Percent!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!High school degree or higher,Estimate!!Percent!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!Bachelor's degree or higher,Margin of Error!!Percent!!Citizens 18 years and over!!EDUCATIONAL ATTAINMENT!!Bachelor's degree or higher,"Estimate!!Percent!!Citizens 18 years and over!!POVERTY STATUS!!Total Citizens, 18 years and older, for whom poverty status is determined","Margin of Error!!Percent!!Citizens 18 years and over!!POVERTY STATUS!!Total Citizens, 18 years and older, for whom poverty status is determined",Estimate!!Percent!!Citizens 18 years and over!!POVERTY STATUS!!Income in the past 12 months below poverty level,Margin of Error!!Percent!!Citizens 18 years and over!!POVERTY STATUS!!Income in the past 12 months below poverty level,Estimate!!Percent!!Citizens 18 years and over!!POVERTY STATUS!!Income in the past 12 months at or above the poverty level,Margin of Error!!Percent!!Citizens 18 years and over!!POVERTY STATUS!!Income in the past 12 months at or above the poverty level,"Estimate!!Percent!!Citizens 18 years and over!!HOUSEHOLD INCOME (IN 2020 INFLATION-ADJUSTED DOLLARS)!!Median Household Income for Households with a Citizen, Voting-Age Householder","Margin of Error!!Percent!!Citizens 18 years and over!!HOUSEHOLD INCOME (IN 2020 INFLATION-ADJUSTED DOLLARS)!!Median Household Income for Households with a Citizen, Voting-Age Householder"
0100000US,United States,233440758,120880,49560487,27624,55620097,45235,77650642,46472,50609532,17248,113241206,63819,120199552,60161,7112958,29853,15430833,63729,64469257,168166,54507299,61455,20082513,53837,45523295,171850,26314603,168904,210896967,195376,71837898,332918,227011169,120696,24743926,102110,202267243,211274,65916,121,(X),(X),21.2,0.1,23.8,0.1,33.3,0.1,21.7,0.1,48.5,0.1,51.5,0.1,3,0.1,6.6,0.1,27.6,0.1,23.3,0.1,8.6,0.1,19.5,0.1,11.3,0.1,90.3,0.1,30.8,0.1,(X),(X),10.9,0.1,89.1,0.1,(X),(X)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GEO_ID,id,0100000US,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NAME,Geographic Area Name,United States,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S2902_C01_001E,Estimate!!Total!!Citizens 18 years and over,233440758,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S2902_C01_001M,Margin of Error!!Total!!Citizens 18 years and over,120880,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S2902_C01_002E,Estimate!!Total!!Citizens 18 years and over!!AGE!!18 to 29 years,49560487,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S2902_C01_002M,Margin of Error!!Total!!Citizens 18 years and over!!AGE!!18 to 29 years,27624,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S2902_C01_003E,Estimate!!Total!!Citizens 18 years and over!!AGE!!30 to 44 years,55620097,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S2902_C01_003M,Margin of Error!!Total!!Citizens 18 years and over!!AGE!!30 to 44 years,45235,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S2902_C01_004E,Estimate!!Total!!Citizens 18 years and over!!AGE!!45 to 64 years,77650642,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S2902_C01_004M,Margin of Error!!Total!!Citizens 18 years and over!!AGE!!45 to 64 years,46472,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S2902_C01_005E,Estimate!!Total!!Citizens 18 years and over!!AGE!!65 years and over,50609532,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S2902_C01_005M,Margin of Error!!Total!!Citizens 18 years and over!!AGE!!65 years and over,17248,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S2902_C01_006E,Estimate!!Total!!Citizens 18 years and over!!SEX!!Male,113241206,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S2902_C01_006M,Margin of Error!!Total!!Citizens 18 years and over!!SEX!!Male,63819,,,,,,,,,,,,,,,,,,
