,race,age,gender
1321244,white,adult,male
1710407,asian,senior,female
1429022,asian,adult,female
221607,white,adult,male
1573344,white,adult,female
1314282,white,adult,female
692450,other,adult,female
446167,white,young-adult,female
1025469,white,adult,female
1362460,asian,child,female
812731,white,tenager,male
1619,white,tenager,female
547527,white,adult,female
962811,white,adult,female
959721,white,senior,female
235531,asian,senior,female
1640227,black,child,female
1082878,asian,young-adult,male
701100,white,adult,male
1808189,white,senior,male
581621,native,tenager,male
438952,white,adult,male
1227663,asian,adult,female
1111324,white,senior,male
1107213,white,adult,female
1159286,other,child,female
1773202,white,adult,male
1509782,asian,young-adult,male
1821037,asian,adult,female
844851,asian,adult,male
1875606,white,tenager,female
664146,white,adult,male
1720969,white,tenager,male
1450096,white,senior,male
1218156,white,adult,male
1639549,white,senior,female
1575262,other,adult,male
1019510,white,adult,male
747776,white,adult,male
1463904,white,adult,female
53146,other,senior,female
1211235,white,tenager,male
8167,white,tenager,male
903651,white,tenager,male
1600235,white,tenager,male
1211495,white,adult,male
974402,asian,adult,female
1786602,white,senior,female
1676856,white,adult,female
1560814,white,senior,female
1860581,white,adult,female
923459,white,tenager,female
1734864,asian,tenager,female
3973,white,adult,male
171885,black,adult,female
1475702,white,senior,female
706163,white,young-adult,female
874018,white,adult,female
736883,pacific-islander,adult,male
160970,asian,senior,female
1674757,asian,adult,female
1097367,white,adult,male
72221,white,senior,male
1210137,white,adult,female
325655,asian,tenager,male
392518,white,child,male
449450,white,tenager,female
368976,other,adult,female
992425,white,adult,male
1098595,other,adult,female
1463710,white,adult,female
893240,white,adult,male
1465530,white,adult,male
1095355,asian,adult,female
1048622,white,adult,male
245647,white,tenager,male
118660,white,young-adult,male
299410,white,child,male
112672,other,tenager,female
838055,white,adult,female
152023,white,adult,female
1239537,white,senior,male
73083,white,adult,female
635396,white,adult,male
1635237,asian,adult,male
1126420,other,senior,male
807513,black,adult,male
902832,asian,young-adult,female
1285495,other,tenager,male
286891,other,child,male
144716,other,adult,male
1445880,other,young-adult,female
1276381,other,adult,female
1198935,white,tenager,female
1417951,white,adult,female
303220,black,adult,male
1621555,white,adult,male
1506032,asian,adult,male
944313,white,child,female
95531,white,adult,male
222113,other,adult,male
1753327,asian,senior,male
1369434,native,tenager,female
92424,asian,senior,female
1104430,white,adult,female
1854655,other,young-adult,male
1729024,other,tenager,male
759053,white,adult,male
1418402,other,adult,male
1597046,white,senior,female
1023503,white,adult,male
1341919,white,young-adult,male
1858128,white,adult,male
1160727,other,tenager,male
