,race,age,gender,height
0,white,minor,male,5.445536387662503
1,white,minor,male,6.174308066353492
2,white,minor,male,5.8466470259584336
3,white,minor,male,4.199653829045987
4,white,minor,male,7.0185118788747625
5,white,minor,male,6.489823705535016
6,white,minor,male,5.777680897136328
7,white,minor,male,5.051410645704926
8,white,minor,male,6.461966243523971
9,white,minor,male,4.6724213607936775
10,white,minor,male,6.034657065334038
11,white,minor,male,6.728386188788861
12,white,minor,male,6.019592333422819
13,white,minor,male,5.436645180976146
14,white,minor,male,5.465206642661041
15,white,minor,male,5.545565547096166
16,white,minor,male,6.948025131672427
17,white,minor,male,7.393505533070051
18,white,minor,male,5.903032304911052
19,white,minor,male,5.692426087246758
20,white,minor,male,5.196306950233681
21,white,minor,male,4.6402286068507035
22,white,minor,male,5.232653128019224
23,white,minor,male,3.4308520713362753
24,white,minor,male,4.789868763955792
25,white,minor,male,6.121550297901098
26,white,minor,male,6.72148625848438
27,white,minor,male,3.7835467592693384
28,white,minor,male,5.104149521515229
29,white,minor,male,6.773775774404107
30,white,minor,male,5.490331877395254
31,white,minor,male,5.36195887229657
32,white,minor,male,5.9441642252501765
33,white,minor,male,3.4529325606621746
34,white,minor,male,5.273937355983752
35,white,minor,male,7.127953558059943
36,white,minor,male,4.706921963131875
37,white,minor,male,7.25902821212546
38,white,minor,male,5.560475689469003
39,white,minor,male,5.857610656140727
40,white,minor,male,5.566567327614452
41,white,minor,male,5.86252740877137
42,white,minor,male,5.198887817117647
43,white,minor,male,3.4472173092330998
44,white,minor,male,7.177810821626591
45,white,minor,male,5.085536588736883
46,white,minor,male,6.460494181726631
47,white,minor,male,5.842947792277082
48,white,minor,male,6.7571115591140405
49,white,minor,male,4.419398057341823
50,white,minor,male,4.1504761856031305
51,white,minor,male,5.128074903858893
52,white,minor,male,5.602063171741275
53,white,minor,male,5.01819066398681
54,white,minor,male,3.7620474657779375
55,white,minor,male,7.09394694856373
56,white,minor,male,5.198717618105477
57,white,minor,male,7.446440187517938
58,white,minor,male,5.420807084894288
59,white,minor,male,7.012901779837197
60,white,minor,male,4.665707753570095
61,white,minor,male,5.094069813045545
62,white,minor,male,5.925544497174512
63,white,minor,male,5.440962931674793
64,white,minor,male,4.867092920731582
65,white,minor,male,6.567452416968886
66,white,minor,male,5.288660558874727
67,white,minor,male,5.202305271925108
68,white,minor,male,4.440065581655517
69,white,minor,male,6.068910021215388
70,white,minor,male,5.630055435715864
71,white,minor,male,4.466256711734905
72,white,minor,male,4.5540715199773905
73,white,minor,male,4.047163311899156
74,white,minor,male,6.4349368556947635
75,white,minor,male,7.644235204056743
76,white,minor,male,3.760818614920512
77,white,minor,male,4.365854537232707
78,white,minor,male,7.7283036691310745
79,white,minor,male,4.618324896458573
80,white,minor,male,6.316677759423573
81,white,minor,male,4.489909819046045
82,white,minor,male,4.729241397470881
83,white,minor,male,6.359669794053118
84,white,minor,male,6.080477724799085
85,white,minor,male,6.4554656945329745
86,white,minor,male,5.979900868034379
87,white,minor,male,6.428963576593824
88,white,minor,male,5.392055580706504
89,white,minor,male,4.206852261138928
90,white,minor,male,7.5058216600241
91,white,minor,male,5.581857921564862
92,white,minor,male,4.676455063594097
93,white,minor,male,5.533564647554731
94,white,minor,male,5.061342342436207
95,white,minor,male,5.468606471527277
96,white,minor,male,5.0657788031771185
97,white,minor,male,5.899739574459088
98,white,minor,male,6.631880056708194
99,white,minor,male,3.613997285644891
100,white,minor,female,6.15214120038979
101,white,minor,female,6.398585619118175
102,white,minor,female,5.010760438719462
103,white,minor,female,7.511154269254305
104,white,minor,female,4.732390426907621
105,white,minor,female,5.977452325317174
106,white,minor,female,4.787330055996961
107,white,minor,female,4.654967496540737
108,white,minor,female,5.466593044315499
109,white,minor,female,5.862224297579924
110,white,minor,female,6.964327247808357
111,white,minor,female,5.511327371209111
112,white,minor,female,6.627620194977098
113,white,minor,female,5.2762333422698875
114,white,minor,female,5.250326825833386
115,white,minor,female,3.9545878771797733
116,white,minor,female,4.533128543399172
117,white,minor,female,5.5995983154900735
118,white,minor,female,7.0980437285938045
119,white,minor,female,4.395673651555499
120,white,minor,female,6.503432202951128
121,white,minor,female,4.37295082907237
122,white,minor,female,6.620709866290124
123,white,minor,female,5.884021104738258
124,white,minor,female,5.202673448509547
125,white,minor,female,7.083491211381279
126,white,minor,female,4.157882633303125
127,white,minor,female,4.4992820082965945
128,white,minor,female,6.690160923723425
129,white,minor,female,5.935772495146889
130,white,minor,female,5.315476015459341
131,white,minor,female,5.679861218378694
132,white,minor,female,6.252218058986131
133,white,minor,female,6.169313886230198
134,white,minor,female,5.43613244805022
135,white,minor,female,4.891844987374122
136,white,minor,female,3.828808922519509
137,white,minor,female,7.015469751778374
138,white,minor,female,6.441611761959396
139,white,minor,female,3.879876881803041
140,white,minor,female,4.03318762957355
141,white,minor,female,3.777167276954909
142,white,minor,female,4.243658097524618
143,white,minor,female,5.081419968816586
144,white,minor,female,4.840545219462434
145,white,minor,female,4.844291142511851
146,white,minor,female,5.705751864270019
147,white,minor,female,3.750320203738293
148,white,minor,female,3.6388881683451597
149,white,minor,female,4.09889507259938
150,white,minor,female,3.8098875116869957
151,white,minor,female,4.504057252387252
152,white,minor,female,6.9254395305811
153,white,minor,female,4.5300937940148165
154,white,minor,female,5.259916217916676
155,white,minor,female,5.766518841047603
156,white,minor,female,5.043655931303835
157,white,minor,female,5.524072703427869
158,white,minor,female,5.185119822307098
159,white,minor,female,4.440887425379652
160,white,minor,female,3.748518725737702
161,white,minor,female,4.389590439045028
162,white,minor,female,4.965391434018973
163,white,minor,female,7.118477191793538
164,white,minor,female,5.892595276802772
165,white,minor,female,6.421661858343257
166,white,minor,female,5.929126855764305
167,white,minor,female,4.828598607885254
168,white,minor,female,4.213159194439092
169,white,minor,female,5.19802508780162
170,white,minor,female,5.2148764015311855
171,white,minor,female,5.899395758251808
172,white,minor,female,5.995250602958685
173,white,minor,female,5.398762482418462
174,white,minor,female,3.007287927537526
175,white,minor,female,5.607073951309935
176,white,minor,female,4.145013022106205
177,white,minor,female,3.3948031041669644
178,white,minor,female,6.04453912203606
179,white,minor,female,6.702071117122443
180,white,minor,female,4.660157049465884
181,white,minor,female,4.886996365782651
182,white,minor,female,4.733961382731951
183,white,minor,female,5.716043026480694
184,white,minor,female,4.974135815603461
185,white,minor,female,3.493658319781286
186,white,minor,female,5.295831109614033
187,white,minor,female,5.942214263525924
188,white,minor,female,6.145847941060963
189,white,minor,female,5.3283824493546
190,white,minor,female,6.068775321773045
191,white,minor,female,5.042884672062622
192,white,minor,female,5.602998372902461
193,white,minor,female,4.9155423885493
194,white,minor,female,4.19267015150104
195,white,minor,female,7.119128522696888
196,white,minor,female,6.182029872513373
197,white,minor,female,5.037307944173327
198,white,minor,female,5.126949923623131
199,white,minor,female,5.238377204521651
200,white,minor,female,3.5069878319897425
201,white,minor,female,4.974166674921365
202,white,minor,female,5.0857702063726595
203,white,minor,female,4.630955286408982
204,white,minor,female,5.807744071088786
205,white,minor,female,4.780180122378223
206,white,minor,female,3.332250025334149
207,white,minor,female,5.932091094508026
208,white,minor,female,6.2567826299782565
209,white,minor,female,5.7010246098481385
210,white,minor,female,4.704071219848412
211,white,minor,female,4.499709857064972
212,white,minor,female,6.058651077067716
213,white,minor,female,4.0580416864253
214,white,minor,female,5.3565816452057415
215,white,minor,female,6.11053458380573
216,white,minor,female,5.966371872681454
217,white,minor,female,6.397768183799314
218,white,minor,female,4.693736256551828
219,white,minor,female,3.785301676759765
220,white,minor,female,4.451869370290458
221,white,minor,female,5.091727727295955
222,white,minor,female,6.1371916518474166
223,white,minor,female,4.419216564013594
224,white,minor,female,4.051732724130889
225,white,minor,female,6.559631615800515
226,white,minor,female,5.3837880453398075
227,white,minor,female,3.669911626357984
228,white,minor,female,4.994929141667079
229,white,minor,female,6.192473262141864
230,white,minor,female,5.344320073581396
231,white,minor,female,4.7017570488248674
232,white,minor,female,4.67066449009144
233,white,minor,female,4.207005737289219
234,white,minor,female,5.270867992573306
235,white,minor,female,5.082564460962487
236,white,minor,female,6.060764357461947
237,white,minor,female,5.51002355647661
238,white,minor,female,5.499470161649371
239,white,minor,female,4.529530558664503
240,white,minor,female,5.679511755929018
241,white,minor,female,5.4669386491001335
242,white,minor,female,5.625165011439667
243,white,minor,female,5.896244241932038
244,white,minor,female,6.049030229093949
245,white,minor,female,5.879492048316119
246,white,minor,female,4.456886669777623
247,white,minor,female,4.421624958736948
248,white,minor,female,5.112154705644878
249,white,minor,female,5.597384262498481
250,white,minor,female,6.125984296249617
251,white,minor,female,5.83515785865647
252,white,minor,female,6.166146062412658
253,white,minor,female,4.221586801117481
254,white,minor,female,4.359117157835969
255,white,minor,female,4.929242844180663
256,white,minor,female,6.504298097992287
257,white,minor,female,7.522447444536241
258,white,minor,female,5.411561793668012
259,white,minor,female,3.6569576862383073
260,white,minor,female,5.066784175919177
261,white,minor,female,6.351594388152721
262,white,minor,female,5.560062993713696
263,white,minor,female,5.285409630526629
264,white,minor,female,4.709574528072492
265,white,minor,female,5.826465712332937
266,white,minor,female,5.719630646635209
267,white,minor,female,5.343419209703961
268,white,minor,female,3.943951599997056
269,white,minor,female,6.382475983623783
270,white,minor,female,5.424058415494971
271,white,minor,female,4.801987151105284
272,white,minor,female,5.018031752451874
273,white,minor,female,5.606506449245095
274,white,minor,female,4.7524900493527324
275,white,minor,female,5.062413977821712
276,white,minor,female,5.091377031202258
